    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  5.500E-03 2.45822E-16  2.163E-08  1.276E-08  9.107E-09  1.619E-16  3.238E-16  1.00E-07
  5.750E-03 2.45822E-16  2.261E-08  1.276E-08  9.107E-09  1.692E-16  3.385E-16  1.00E-07
  6.000E-03 2.45822E-16  2.360E-08  1.276E-08  9.107E-09  1.766E-16  3.533E-16  1.00E-07
  6.250E-03 2.45822E-16  2.458E-08  1.276E-08  9.107E-09  1.839E-16  3.680E-16  1.00E-07
  6.500E-03 2.45822E-16  2.556E-08  1.276E-08  9.107E-09  1.913E-16  3.827E-16  1.00E-07
  6.750E-03 2.45822E-16  2.655E-08  1.276E-08  9.107E-09  1.987E-16  3.974E-16  1.00E-07
  7.000E-03 2.45822E-16  2.753E-08  1.276E-08  9.107E-09  2.060E-16  4.121E-16  1.00E-07
  7.250E-03 2.45822E-16  2.851E-08  1.276E-08  9.107E-09  2.134E-16  4.269E-16  1.00E-07
  7.500E-03 2.45822E-16  2.950E-08  1.276E-08  9.107E-09  2.207E-16  4.416E-16  1.00E-07
  7.750E-03 2.45822E-16  3.048E-08  1.276E-08  9.107E-09  2.281E-16  4.563E-16  1.00E-07
  8.000E-03 2.45822E-16  3.146E-08  1.276E-08  9.107E-09  2.354E-16  4.710E-16  1.00E-07
  8.250E-03 2.45822E-16  3.245E-08  1.276E-08  9.107E-09  2.428E-16  4.857E-16  1.00E-07
  8.500E-03 2.45822E-16  3.343E-08  1.276E-08  9.107E-09  2.502E-16  5.004E-16  1.00E-07
  8.750E-03 2.45822E-16  3.441E-08  1.276E-08  9.107E-09  2.575E-16  5.152E-16  1.00E-07
  9.000E-03 2.45822E-16  3.540E-08  1.276E-08  9.107E-09  2.649E-16  5.299E-16  1.00E-07
  9.250E-03 2.45822E-16  3.638E-08  1.276E-08  9.107E-09  2.722E-16  5.446E-16  1.00E-07
  9.500E-03 2.45822E-16  3.736E-08  1.276E-08  9.107E-09  2.796E-16  5.593E-16  1.00E-07
  9.750E-03 2.45822E-16  3.835E-08  1.276E-08  9.107E-09  2.869E-16  5.740E-16  1.00E-07
  1.000E-02 2.45822E-16  3.933E-08  1.276E-08  9.107E-09  2.943E-16  5.888E-16  1.00E-07
  1.250E-02 2.45822E-16  4.916E-08  1.276E-08  9.107E-09  3.679E-16  7.360E-16  1.00E-07
  1.500E-02 2.45822E-16  5.899E-08  1.276E-08  9.107E-09  4.415E-16  8.831E-16  1.00E-07
  1.750E-02 2.45822E-16  6.883E-08  1.276E-08  9.107E-09  5.150E-16  1.030E-15  1.00E-07
  2.000E-02 2.45822E-16  7.866E-08  1.276E-08  9.107E-09  5.886E-16  1.178E-15  1.00E-07
  2.250E-02 2.45821E-16  8.849E-08  1.276E-08  9.107E-09  6.622E-16  1.325E-15  1.00E-07
  2.500E-02 2.45821E-16  9.832E-08  1.276E-08  9.107E-09  7.358E-16  1.472E-15  1.00E-07
  2.750E-02 2.45821E-16  1.082E-07  1.276E-08  9.107E-09  8.093E-16  1.619E-15  1.00E-07
  3.000E-02 2.45821E-16  1.180E-07  1.276E-08  9.107E-09  8.829E-16  1.766E-15  1.00E-07
  3.250E-02 2.45821E-16  1.278E-07  1.276E-08  9.107E-09  9.565E-16  1.913E-15  1.00E-07
  3.500E-02 2.45821E-16  1.377E-07  1.276E-08  9.107E-09  1.030E-15  2.061E-15  1.00E-07
  3.750E-02 2.45821E-16  1.475E-07  1.276E-08  9.107E-09  1.104E-15  2.208E-15  1.00E-07
  4.000E-02 2.45821E-16  1.573E-07  1.276E-08  9.107E-09  1.177E-15  2.355E-15  1.00E-07
  4.250E-02 2.45820E-16  1.672E-07  1.276E-08  9.107E-09  1.251E-15  2.502E-15  1.00E-07
  4.500E-02 2.45820E-16  1.770E-07  1.276E-08  9.107E-09  1.324E-15  2.649E-15  1.00E-07
  4.750E-02 2.45820E-16  1.868E-07  1.276E-08  9.107E-09  1.398E-15  2.797E-15  1.00E-07
  5.000E-02 2.45820E-16  1.966E-07  1.276E-08  9.107E-09  1.472E-15  2.944E-15  1.00E-07
  5.250E-02 2.45820E-16  2.065E-07  1.276E-08  9.107E-09  1.545E-15  3.091E-15  1.00E-07
  5.500E-02 2.45819E-16  2.163E-07  1.276E-08  9.107E-09  1.619E-15  3.238E-15  1.00E-07
  5.750E-02 2.45819E-16  2.261E-07  1.276E-08  9.107E-09  1.692E-15  3.385E-15  1.00E-07
  6.000E-02 2.45819E-16  2.360E-07  1.276E-08  9.107E-09  1.766E-15  3.533E-15  1.00E-07
  6.250E-02 2.45819E-16  2.458E-07  1.276E-08  9.107E-09  1.839E-15  3.680E-15  1.00E-07
  6.500E-02 2.45819E-16  2.556E-07  1.276E-08  9.107E-09  1.913E-15  3.827E-15  1.00E-07
  6.750E-02 2.45818E-16  2.655E-07  1.276E-08  9.107E-09  1.987E-15  3.974E-15  1.00E-07
  7.000E-02 2.45818E-16  2.753E-07  1.276E-08  9.107E-09  2.060E-15  4.121E-15  1.00E-07
  7.250E-02 2.45818E-16  2.851E-07  1.276E-08  9.107E-09  2.134E-15  4.269E-15  1.00E-07
  7.500E-02 2.45817E-16  2.950E-07  1.276E-08  9.107E-09  2.207E-15  4.416E-15  1.00E-07
  7.750E-02 2.45817E-16  3.048E-07  1.276E-08  9.107E-09  2.281E-15  4.563E-15  1.00E-07
  8.000E-02 2.45817E-16  3.146E-07  1.276E-08  9.107E-09  2.354E-15  4.710E-15  1.00E-07
  8.250E-02 2.45816E-16  3.245E-07  1.276E-08  9.107E-09  2.428E-15  4.857E-15  1.00E-07
  8.500E-02 2.45816E-16  3.343E-07  1.276E-08  9.107E-09  2.502E-15  5.004E-15  1.00E-07
  8.750E-02 2.45816E-16  3.441E-07  1.276E-08  9.107E-09  2.575E-15  5.152E-15  1.00E-07
  9.000E-02 2.45815E-16  3.540E-07  1.276E-08  9.107E-09  2.649E-15  5.299E-15  1.00E-07
  9.250E-02 2.45815E-16  3.638E-07  1.276E-08  9.107E-09  2.722E-15  5.446E-15  1.00E-07
  9.500E-02 2.45815E-16  3.736E-07  1.276E-08  9.107E-09  2.796E-15  5.593E-15  1.00E-07
  9.750E-02 2.45814E-16  3.835E-07  1.276E-08  9.107E-09  2.869E-15  5.740E-15  1.00E-07
  1.000E-01 2.45814E-16  3.933E-07  1.276E-08  9.107E-09  2.943E-15  5.888E-15  1.00E-07
  1.250E-01 2.45809E-16  4.916E-07  1.276E-08  9.107E-09  3.679E-15  7.360E-15  1.00E-07
  1.500E-01 2.45804E-16  5.900E-07  1.276E-08  9.107E-09  4.414E-15  8.831E-15  1.00E-07
  1.750E-01 2.45798E-16  6.883E-07  1.276E-08  9.107E-09  5.150E-15  1.030E-14  1.00E-07
  2.000E-01 2.45790E-16  7.867E-07  1.276E-08  9.107E-09  5.885E-15  1.178E-14  1.00E-07
  2.250E-01 2.45782E-16  8.850E-07  1.276E-08  9.107E-09  6.620E-15  1.325E-14  1.00E-07
  2.500E-01 2.45772E-16  9.834E-07  1.276E-08  9.106E-09  7.356E-15  1.472E-14  1.00E-07
  2.750E-01 2.45762E-16  1.082E-06  1.276E-08  9.106E-09  8.091E-15  1.619E-14  1.00E-07
  3.000E-01 2.45751E-16  1.180E-06  1.276E-08  9.106E-09  8.826E-15  1.766E-14  1.00E-07
  3.250E-01 2.45738E-16  1.278E-06  1.276E-08  9.106E-09  9.561E-15  1.913E-14  1.00E-07
  3.500E-01 2.45725E-16  1.377E-06  1.276E-08  9.106E-09  1.030E-14  2.061E-14  1.00E-07
  3.750E-01 2.45711E-16  1.475E-06  1.276E-08  9.106E-09  1.103E-14  2.208E-14  1.00E-07
  4.000E-01 2.45695E-16  1.574E-06  1.276E-08  9.106E-09  1.176E-14  2.355E-14  1.00E-07
  4.250E-01 2.45679E-16  1.672E-06  1.276E-08  9.106E-09  1.250E-14  2.502E-14  1.00E-07
  4.500E-01 2.45662E-16  1.771E-06  1.276E-08  9.106E-09  1.323E-14  2.649E-14  1.00E-07
  4.750E-01 2.45643E-16  1.869E-06  1.276E-08  9.106E-09  1.397E-14  2.796E-14  1.00E-07
  5.000E-01 2.45624E-16  1.967E-06  1.276E-08  9.106E-09  1.470E-14  2.943E-14  1.00E-07
  5.250E-01 2.45604E-16  2.066E-06  1.276E-08  9.105E-09  1.543E-14  3.091E-14  1.00E-07
  5.500E-01 2.45582E-16  2.164E-06  1.275E-08  9.105E-09  1.617E-14  3.238E-14  1.00E-07
  5.750E-01 2.45560E-16  2.263E-06  1.275E-08  9.105E-09  1.690E-14  3.385E-14  1.00E-07
  6.000E-01 2.45537E-16  2.361E-06  1.275E-08  9.105E-09  1.763E-14  3.532E-14  1.00E-07
  6.250E-01 2.45513E-16  2.460E-06  1.275E-08  9.105E-09  1.836E-14  3.679E-14  1.00E-07
  6.500E-01 2.45488E-16  2.558E-06  1.275E-08  9.105E-09  1.910E-14  3.826E-14  1.00E-07
  6.750E-01 2.45461E-16  2.657E-06  1.275E-08  9.105E-09  1.983E-14  3.973E-14  1.00E-07
  7.000E-01 2.45434E-16  2.756E-06  1.275E-08  9.104E-09  2.056E-14  4.120E-14  1.00E-07
  7.250E-01 2.45406E-16  2.854E-06  1.275E-08  9.104E-09  2.129E-14  4.268E-14  1.00E-07
  7.500E-01 2.45377E-16  2.953E-06  1.275E-08  9.104E-09  2.202E-14  4.415E-14  1.00E-07
  7.750E-01 2.45347E-16  3.052E-06  1.275E-08  9.104E-09  2.275E-14  4.562E-14  1.00E-07
  8.000E-01 2.45316E-16  3.150E-06  1.275E-08  9.104E-09  2.348E-14  4.709E-14  1.00E-07
  8.250E-01 2.45284E-16  3.249E-06  1.274E-08  9.103E-09  2.421E-14  4.856E-14  1.00E-07
  8.500E-01 2.45251E-16  3.348E-06  1.274E-08  9.103E-09  2.494E-14  5.003E-14  1.00E-07
  8.750E-01 2.45217E-16  3.446E-06  1.274E-08  9.103E-09  2.567E-14  5.150E-14  1.00E-07
  9.000E-01 2.45182E-16  3.545E-06  1.274E-08  9.103E-09  2.639E-14  5.297E-14  1.00E-07
  9.250E-01 2.45146E-16  3.644E-06  1.274E-08  9.103E-09  2.712E-14  5.444E-14  1.00E-07
