  1.750E-03 2.53620E-16  6.884E-09  1.319E-08  8.917E-09  7.779E-17  1.187E-16  1.00E-07
  2.000E-03 2.53620E-16  7.868E-09  1.319E-08  8.917E-09  8.891E-17  1.357E-16  1.00E-07
  2.250E-03 2.53620E-16  8.851E-09  1.319E-08  8.917E-09  1.000E-16  1.527E-16  1.00E-07
  2.500E-03 2.53620E-16  9.834E-09  1.319E-08  8.917E-09  1.111E-16  1.696E-16  1.00E-07
  2.750E-03 2.53620E-16  1.082E-08  1.319E-08  8.917E-09  1.222E-16  1.866E-16  1.00E-07
  3.000E-03 2.53620E-16  1.180E-08  1.319E-08  8.917E-09  1.334E-16  2.035E-16  1.00E-07
  3.250E-03 2.53620E-16  1.278E-08  1.319E-08  8.917E-09  1.445E-16  2.205E-16  1.00E-07
  3.500E-03 2.53620E-16  1.377E-08  1.319E-08  8.917E-09  1.556E-16  2.375E-16  1.00E-07
  3.750E-03 2.53620E-16  1.475E-08  1.319E-08  8.917E-09  1.667E-16  2.544E-16  1.00E-07
  4.000E-03 2.53620E-16  1.574E-08  1.319E-08  8.917E-09  1.778E-16  2.714E-16  1.00E-07
  4.250E-03 2.53620E-16  1.672E-08  1.319E-08  8.917E-09  1.889E-16  2.883E-16  1.00E-07
  4.500E-03 2.53620E-16  1.770E-08  1.319E-08  8.917E-09  2.000E-16  3.053E-16  1.00E-07
  4.750E-03 2.53620E-16  1.869E-08  1.319E-08  8.917E-09  2.111E-16  3.223E-16  1.00E-07
  5.000E-03 2.53620E-16  1.967E-08  1.319E-08  8.917E-09  2.223E-16  3.392E-16  1.00E-07
  5.250E-03 2.53620E-16  2.065E-08  1.319E-08  8.917E-09  2.334E-16  3.562E-16  1.00E-07
  5.500E-03 2.53620E-16  2.164E-08  1.319E-08  8.917E-09  2.445E-16  3.732E-16  1.00E-07
  5.750E-03 2.53620E-16  2.262E-08  1.319E-08  8.917E-09  2.556E-16  3.901E-16  1.00E-07
  6.000E-03 2.53620E-16  2.360E-08  1.319E-08  8.917E-09  2.667E-16  4.071E-16  1.00E-07
  6.250E-03 2.53620E-16  2.459E-08  1.319E-08  8.917E-09  2.778E-16  4.240E-16  1.00E-07
  6.500E-03 2.53620E-16  2.557E-08  1.319E-08  8.917E-09  2.889E-16  4.410E-16  1.00E-07
  6.750E-03 2.53620E-16  2.655E-08  1.319E-08  8.917E-09  3.001E-16  4.580E-16  1.00E-07
  7.000E-03 2.53620E-16  2.754E-08  1.319E-08  8.917E-09  3.112E-16  4.749E-16  1.00E-07
  7.250E-03 2.53620E-16  2.852E-08  1.319E-08  8.917E-09  3.223E-16  4.919E-16  1.00E-07
  7.500E-03 2.53620E-16  2.950E-08  1.319E-08  8.917E-09  3.334E-16  5.088E-16  1.00E-07
  7.750E-03 2.53620E-16  3.049E-08  1.319E-08  8.917E-09  3.445E-16  5.258E-16  1.00E-07
  8.000E-03 2.53620E-16  3.147E-08  1.319E-08  8.917E-09  3.556E-16  5.428E-16  1.00E-07
  8.250E-03 2.53620E-16  3.245E-08  1.319E-08  8.917E-09  3.667E-16  5.597E-16  1.00E-07
  8.500E-03 2.53620E-16  3.344E-08  1.319E-08  8.917E-09  3.778E-16  5.767E-16  1.00E-07
  8.750E-03 2.53620E-16  3.442E-08  1.319E-08  8.917E-09  3.890E-16  5.937E-16  1.00E-07
  9.000E-03 2.53620E-16  3.540E-08  1.319E-08  8.917E-09  4.001E-16  6.106E-16  1.00E-07
  9.250E-03 2.53620E-16  3.639E-08  1.319E-08  8.917E-09  4.112E-16  6.276E-16  1.00E-07
  9.500E-03 2.53620E-16  3.737E-08  1.319E-08  8.917E-09  4.223E-16  6.445E-16  1.00E-07
  9.750E-03 2.53620E-16  3.835E-08  1.319E-08  8.917E-09  4.334E-16  6.615E-16  1.00E-07
  1.000E-02 2.53620E-16  3.934E-08  1.319E-08  8.917E-09  4.445E-16  6.785E-16  1.00E-07
  1.250E-02 2.53620E-16  4.917E-08  1.319E-08  8.917E-09  5.557E-16  8.481E-16  1.00E-07
  1.500E-02 2.53620E-16  5.901E-08  1.319E-08  8.917E-09  6.668E-16  1.018E-15  1.00E-07
  1.750E-02 2.53620E-16  6.884E-08  1.319E-08  8.917E-09  7.779E-16  1.187E-15  1.00E-07
  2.000E-02 2.53620E-16  7.868E-08  1.319E-08  8.917E-09  8.891E-16  1.357E-15  1.00E-07
  2.250E-02 2.53620E-16  8.851E-08  1.319E-08  8.917E-09  1.000E-15  1.527E-15  1.00E-07
  2.500E-02 2.53620E-16  9.834E-08  1.319E-08  8.917E-09  1.111E-15  1.696E-15  1.00E-07
  2.750E-02 2.53620E-16  1.082E-07  1.319E-08  8.917E-09  1.222E-15  1.866E-15  1.00E-07
  3.000E-02 2.53619E-16  1.180E-07  1.319E-08  8.917E-09  1.334E-15  2.035E-15  1.00E-07
  3.250E-02 2.53619E-16  1.278E-07  1.319E-08  8.917E-09  1.445E-15  2.205E-15  1.00E-07
  3.500E-02 2.53619E-16  1.377E-07  1.319E-08  8.917E-09  1.556E-15  2.375E-15  1.00E-07
  3.750E-02 2.53619E-16  1.475E-07  1.319E-08  8.917E-09  1.667E-15  2.544E-15  1.00E-07
  4.000E-02 2.53619E-16  1.574E-07  1.319E-08  8.917E-09  1.778E-15  2.714E-15  1.00E-07
  4.250E-02 2.53619E-16  1.672E-07  1.319E-08  8.917E-09  1.889E-15  2.883E-15  1.00E-07
  4.500E-02 2.53618E-16  1.770E-07  1.319E-08  8.917E-09  2.000E-15  3.053E-15  1.00E-07
  4.750E-02 2.53618E-16  1.869E-07  1.319E-08  8.917E-09  2.111E-15  3.223E-15  1.00E-07
  5.000E-02 2.53618E-16  1.967E-07  1.319E-08  8.917E-09  2.223E-15  3.392E-15  1.00E-07
  5.250E-02 2.53618E-16  2.065E-07  1.319E-08  8.917E-09  2.334E-15  3.562E-15  1.00E-07
  5.500E-02 2.53617E-16  2.164E-07  1.319E-08  8.917E-09  2.445E-15  3.732E-15  1.00E-07
  5.750E-02 2.53617E-16  2.262E-07  1.319E-08  8.917E-09  2.556E-15  3.901E-15  1.00E-07
  6.000E-02 2.53617E-16  2.360E-07  1.319E-08  8.917E-09  2.667E-15  4.071E-15  1.00E-07
  6.250E-02 2.53617E-16  2.459E-07  1.319E-08  8.917E-09  2.778E-15  4.240E-15  1.00E-07
  6.500E-02 2.53616E-16  2.557E-07  1.319E-08  8.917E-09  2.889E-15  4.410E-15  1.00E-07
  6.750E-02 2.53616E-16  2.655E-07  1.319E-08  8.917E-09  3.000E-15  4.580E-15  1.00E-07
  7.000E-02 2.53616E-16  2.754E-07  1.319E-08  8.917E-09  3.112E-15  4.749E-15  1.00E-07
  7.250E-02 2.53615E-16  2.852E-07  1.319E-08  8.917E-09  3.223E-15  4.919E-15  1.00E-07
  7.500E-02 2.53615E-16  2.950E-07  1.319E-08  8.917E-09  3.334E-15  5.088E-15  1.00E-07
  7.750E-02 2.53615E-16  3.049E-07  1.319E-08  8.917E-09  3.445E-15  5.258E-15  1.00E-07
  8.000E-02 2.53614E-16  3.147E-07  1.319E-08  8.917E-09  3.556E-15  5.428E-15  1.00E-07
  8.250E-02 2.53614E-16  3.245E-07  1.319E-08  8.917E-09  3.667E-15  5.597E-15  1.00E-07
  8.500E-02 2.53614E-16  3.344E-07  1.319E-08  8.917E-09  3.778E-15  5.767E-15  1.00E-07
  8.750E-02 2.53613E-16  3.442E-07  1.319E-08  8.917E-09  3.889E-15  5.936E-15  1.00E-07
  9.000E-02 2.53613E-16  3.540E-07  1.319E-08  8.917E-09  4.001E-15  6.106E-15  1.00E-07
  9.250E-02 2.53612E-16  3.639E-07  1.319E-08  8.917E-09  4.112E-15  6.276E-15  1.00E-07
  9.500E-02 2.53612E-16  3.737E-07  1.319E-08  8.917E-09  4.223E-15  6.445E-15  1.00E-07
  9.750E-02 2.53611E-16  3.835E-07  1.319E-08  8.917E-09  4.334E-15  6.615E-15  1.00E-07
  1.000E-01 2.53611E-16  3.934E-07  1.319E-08  8.917E-09  4.445E-15  6.785E-15  1.00E-07
  1.250E-01 2.53606E-16  4.917E-07  1.319E-08  8.917E-09  5.556E-15  8.481E-15  1.00E-07
  1.500E-01 2.53599E-16  5.901E-07  1.319E-08  8.917E-09  6.667E-15  1.018E-14  1.00E-07
  1.750E-01 2.53592E-16  6.884E-07  1.319E-08  8.917E-09  7.778E-15  1.187E-14  1.00E-07
  2.000E-01 2.53583E-16  7.868E-07  1.319E-08  8.917E-09  8.889E-15  1.357E-14  1.00E-07
  2.250E-01 2.53573E-16  8.852E-07  1.319E-08  8.917E-09  1.000E-14  1.526E-14  1.00E-07
  2.500E-01 2.53562E-16  9.836E-07  1.319E-08  8.917E-09  1.111E-14  1.696E-14  1.00E-07
  2.750E-01 2.53550E-16  1.082E-06  1.319E-08  8.917E-09  1.222E-14  1.866E-14  1.00E-07
  3.000E-01 2.53537E-16  1.180E-06  1.319E-08  8.917E-09  1.333E-14  2.035E-14  1.00E-07
  3.250E-01 2.53522E-16  1.279E-06  1.319E-08  8.916E-09  1.444E-14  2.205E-14  1.00E-07
  3.500E-01 2.53507E-16  1.377E-06  1.319E-08  8.916E-09  1.555E-14  2.374E-14  1.00E-07
  3.750E-01 2.53490E-16  1.476E-06  1.319E-08  8.916E-09  1.666E-14  2.544E-14  1.00E-07
  4.000E-01 2.53472E-16  1.574E-06  1.319E-08  8.916E-09  1.777E-14  2.714E-14  1.00E-07
  4.250E-01 2.53453E-16  1.672E-06  1.319E-08  8.916E-09  1.888E-14  2.883E-14  1.00E-07
  4.500E-01 2.53432E-16  1.771E-06  1.319E-08  8.916E-09  1.999E-14  3.053E-14  1.00E-07
  4.750E-01 2.53411E-16  1.869E-06  1.319E-08  8.916E-09  2.110E-14  3.222E-14  1.00E-07
  5.000E-01 2.53388E-16  1.968E-06  1.319E-08  8.916E-09  2.221E-14  3.392E-14  1.00E-07
  5.250E-01 2.53364E-16  2.066E-06  1.319E-08  8.916E-09  2.331E-14  3.561E-14  1.00E-07
  5.500E-01 2.53340E-16  2.165E-06  1.319E-08  8.915E-09  2.442E-14  3.731E-14  1.00E-07
  5.750E-01 2.53313E-16  2.263E-06  1.318E-08  8.915E-09  2.553E-14  3.901E-14  1.00E-07
  6.000E-01 2.53286E-16  2.362E-06  1.318E-08  8.915E-09  2.663E-14  4.070E-14  1.00E-07
  6.250E-01 2.53258E-16  2.461E-06  1.318E-08  8.915E-09  2.774E-14  4.240E-14  1.00E-07
  6.500E-01 2.53228E-16  2.559E-06  1.318E-08  8.915E-09  2.885E-14  4.409E-14  1.00E-07
  6.750E-01 2.53198E-16  2.658E-06  1.318E-08  8.915E-09  2.995E-14  4.579E-14  1.00E-07
  7.000E-01 2.53166E-16  2.756E-06  1.318E-08  8.914E-09  3.106E-14  4.748E-14  1.00E-07
  7.250E-01 2.53133E-16  2.855E-06  1.318E-08  8.914E-09  3.216E-14  4.918E-14  1.00E-07
  7.500E-01 2.53099E-16  2.954E-06  1.318E-08  8.914E-09  3.327E-14  5.087E-14  1.00E-07
  7.750E-01 2.53063E-16  3.052E-06  1.318E-08  8.914E-09  3.437E-14  5.257E-14  1.00E-07
  8.000E-01 2.53027E-16  3.151E-06  1.317E-08  8.914E-09  3.548E-14  5.426E-14  1.00E-07
  8.250E-01 2.52989E-16  3.250E-06  1.317E-08  8.913E-09  3.658E-14  5.596E-14  1.00E-07
  8.500E-01 2.52950E-16  3.349E-06  1.317E-08  8.913E-09  3.768E-14  5.765E-14  1.00E-07
  8.750E-01 2.52911E-16  3.447E-06  1.317E-08  8.913E-09  3.878E-14  5.934E-14  1.00E-07
  9.000E-01 2.52869E-16  3.546E-06  1.317E-08  8.913E-09  3.988E-14  6.104E-14  1.00E-07
  9.250E-01 2.52827E-16  3.645E-06  1.317E-08  8.913E-09  4.098E-14  6.273E-14  1.00E-07
  9.500E-01 2.52784E-16  3.744E-06  1.317E-08  8.912E-09  4.208E-14  6.443E-14  1.00E-07
  9.750E-01 2.52739E-16  3.843E-06  1.316E-08  8.912E-09  4.318E-14  6.612E-14  1.00E-07
  1.000E+00 2.52694E-16  3.942E-06  1.316E-08  8.912E-09  4.428E-14  6.781E-14  1.00E-07
  1.100E+00 2.52500E-16  4.338E-06  1.316E-08  8.911E-09  4.867E-14  7.459E-14  1.00E-07
  1.200E+00 2.52288E-16  4.734E-06  1.315E-08  8.909E-09  5.305E-14  8.136E-14  1.00E-07
  1.300E+00 2.52057E-16  5.131E-06  1.314E-08  8.908E-09  5.742E-14  8.813E-14  1.00E-07
  1.400E+00 2.51809E-16  5.529E-06  1.313E-08  8.907E-09  6.177E-14  9.490E-14  1.00E-07
  1.500E+00 2.51542E-16  5.927E-06  1.312E-08  8.905E-09  6.611E-14  1.017E-13  1.00E-07
  1.600E+00 2.51257E-16  6.327E-06  1.311E-08  8.904E-09  7.043E-14  1.084E-13  1.00E-07
  1.700E+00 2.50955E-16  6.726E-06  1.310E-08  8.902E-09  7.474E-14  1.152E-13  1.00E-07
  1.800E+00 2.50635E-16  7.127E-06  1.309E-08  8.900E-09  7.903E-14  1.219E-13  1.00E-07
  1.900E+00 2.50297E-16  7.529E-06  1.308E-08  8.898E-09  8.330E-14  1.287E-13  1.00E-07
  2.000E+00 2.49941E-16  7.931E-06  1.307E-08  8.896E-09  8.756E-14  1.354E-13  1.00E-07
  2.100E+00 2.49568E-16  8.335E-06  1.306E-08  8.894E-09  9.179E-14  1.422E-13  1.00E-07
  2.200E+00 2.49178E-16  8.739E-06  1.304E-08  8.892E-09  9.600E-14  1.489E-13  1.00E-07
  2.300E+00 2.48770E-16  9.144E-06  1.303E-08  8.889E-09  1.002E-13  1.557E-13  1.00E-07
  2.400E+00 2.48345E-16  9.551E-06  1.301E-08  8.887E-09  1.044E-13  1.624E-13  1.00E-07
  2.500E+00 2.47904E-16  9.959E-06  1.300E-08  8.884E-09  1.085E-13  1.691E-13  1.00E-07
  2.600E+00 2.47445E-16  1.037E-05  1.298E-08  8.882E-09  1.126E-13  1.758E-13  1.00E-07
  2.700E+00 2.46969E-16  1.078E-05  1.297E-08  8.879E-09  1.167E-13  1.826E-13  1.00E-07
  2.800E+00 2.46477E-16  1.119E-05  1.295E-08  8.876E-09  1.208E-13  1.893E-13  1.00E-07
  2.900E+00 2.45968E-16  1.160E-05  1.293E-08  8.873E-09  1.248E-13  1.960E-13  1.00E-07
  3.000E+00 2.45443E-16  1.202E-05  1.291E-08  8.870E-09  1.288E-13  2.027E-13  1.00E-07
  3.100E+00 2.44902E-16  1.243E-05  1.289E-08  8.867E-09  1.328E-13  2.094E-13  1.00E-07
  3.200E+00 2.44345E-16  1.285E-05  1.288E-08  8.864E-09  1.368E-13  2.161E-13  1.00E-07
  3.300E+00 2.43771E-16  1.327E-05  1.286E-08  8.860E-09  1.407E-13  2.228E-13  1.00E-07
  3.400E+00 2.43182E-16  1.369E-05  1.284E-08  8.857E-09  1.446E-13  2.294E-13  1.00E-07
  3.500E+00 2.42578E-16  1.411E-05  1.281E-08  8.853E-09  1.484E-13  2.361E-13  1.00E-07
  3.600E+00 2.41958E-16  1.453E-05  1.279E-08  8.849E-09  1.523E-13  2.428E-13  1.00E-07
  3.700E+00 2.41323E-16  1.496E-05  1.277E-08  8.846E-09  1.560E-13  2.494E-13  1.00E-07
  3.800E+00 2.40673E-16  1.539E-05  1.275E-08  8.842E-09  1.598E-13  2.561E-13  1.00E-07
  3.900E+00 2.40007E-16  1.581E-05  1.272E-08  8.838E-09  1.635E-13  2.627E-13  1.00E-07
  4.000E+00 2.39328E-16  1.625E-05  1.270E-08  8.834E-09  1.672E-13  2.694E-13  1.00E-07
  4.100E+00 2.38633E-16  1.668E-05  1.268E-08  8.829E-09  1.708E-13  2.760E-13  1.00E-07
  4.200E+00 2.37924E-16  1.711E-05  1.265E-08  8.825E-09  1.744E-13  2.826E-13  1.00E-07
  4.300E+00 2.37202E-16  1.755E-05  1.263E-08  8.821E-09  1.780E-13  2.892E-13  1.00E-07
  4.400E+00 2.36465E-16  1.799E-05  1.260E-08  8.816E-09  1.815E-13  2.958E-13  1.00E-07
  4.500E+00 2.35714E-16  1.843E-05  1.257E-08  8.812E-09  1.850E-13  3.024E-13  1.00E-07
  4.600E+00 2.34950E-16  1.887E-05  1.255E-08  8.807E-09  1.885E-13  3.090E-13  1.00E-07
  4.700E+00 2.34173E-16  1.932E-05  1.252E-08  8.802E-09  1.919E-13  3.156E-13  1.00E-07
  4.800E+00 2.33382E-16  1.977E-05  1.249E-08  8.797E-09  1.952E-13  3.222E-13  1.00E-07
  4.900E+00 2.32579E-16  2.022E-05  1.246E-08  8.792E-09  1.985E-13  3.287E-13  1.00E-07
  5.000E+00 2.31763E-16  2.067E-05  1.243E-08  8.787E-09  2.018E-13  3.353E-13  1.00E-07
  5.100E+00 2.30934E-16  2.112E-05  1.240E-08  8.782E-09  2.050E-13  3.418E-13  1.00E-07
  5.200E+00 2.30093E-16  2.158E-05  1.237E-08  8.777E-09  2.082E-13  3.484E-13  1.00E-07
  5.300E+00 2.29240E-16  2.204E-05  1.234E-08  8.771E-09  2.113E-13  3.549E-13  1.00E-07
  5.400E+00 2.28375E-16  2.250E-05  1.231E-08  8.766E-09  2.144E-13  3.614E-13  1.00E-07
  5.500E+00 2.27498E-16  2.297E-05  1.228E-08  8.760E-09  2.175E-13  3.679E-13  1.00E-07
  5.600E+00 2.26610E-16  2.344E-05  1.225E-08  8.755E-09  2.204E-13  3.744E-13  1.00E-07
  5.700E+00 2.25711E-16  2.391E-05  1.221E-08  8.749E-09  2.234E-13  3.809E-13  1.00E-07
  5.800E+00 2.24801E-16  2.438E-05  1.218E-08  8.743E-09  2.263E-13  3.874E-13  1.00E-07
  5.900E+00 2.23880E-16  2.486E-05  1.215E-08  8.737E-09  2.291E-13  3.939E-13  1.00E-07
  6.000E+00 2.22948E-16  2.534E-05  1.211E-08  8.731E-09  2.319E-13  4.003E-13  1.00E-07
  6.100E+00 2.22006E-16  2.582E-05  1.208E-08  8.725E-09  2.346E-13  4.068E-13  1.00E-07
  6.200E+00 2.21054E-16  2.630E-05  1.204E-08  8.718E-09  2.373E-13  4.132E-13  1.00E-07
  6.300E+00 2.20093E-16  2.679E-05  1.201E-08  8.712E-09  2.400E-13  4.196E-13  1.00E-07
  6.400E+00 2.19121E-16  2.728E-05  1.197E-08  8.705E-09  2.425E-13  4.260E-13  1.00E-07
  6.500E+00 2.18141E-16  2.778E-05  1.194E-08  8.699E-09  2.451E-13  4.324E-13  1.00E-07
  6.600E+00 2.17151E-16  2.827E-05  1.190E-08  8.692E-09  2.475E-13  4.388E-13  1.00E-07
  6.700E+00 2.16152E-16  2.878E-05  1.186E-08  8.685E-09  2.499E-13  4.452E-13  1.00E-07
  6.800E+00 2.15144E-16  2.928E-05  1.182E-08  8.679E-09  2.523E-13  4.515E-13  1.00E-07
  6.900E+00 2.14128E-16  2.979E-05  1.179E-08  8.672E-09  2.546E-13  4.579E-13  1.00E-07
  7.000E+00 2.13104E-16  3.030E-05  1.175E-08  8.665E-09  2.569E-13  4.642E-13  1.00E-07
  7.100E+00 2.12072E-16  3.081E-05  1.171E-08  8.657E-09  2.591E-13  4.705E-13  1.00E-07
  7.200E+00 2.11032E-16  3.133E-05  1.167E-08  8.650E-09  2.612E-13  4.769E-13  1.00E-07
  7.300E+00 2.09985E-16  3.185E-05  1.163E-08  8.643E-09  2.633E-13  4.832E-13  1.00E-07
  7.400E+00 2.08930E-16  3.238E-05  1.159E-08  8.635E-09  2.653E-13  4.894E-13  1.00E-07
  7.500E+00 2.07868E-16  3.291E-05  1.155E-08  8.628E-09  2.673E-13  4.957E-13  1.00E-07
  7.600E+00 2.06799E-16  3.344E-05  1.151E-08  8.620E-09  2.692E-13  5.020E-13  1.00E-07
  7.700E+00 2.05724E-16  3.398E-05  1.147E-08  8.613E-09  2.710E-13  5.082E-13  1.00E-07
  7.800E+00 2.04642E-16  3.452E-05  1.143E-08  8.605E-09  2.728E-13  5.144E-13  1.00E-07
  7.900E+00 2.03555E-16  3.506E-05  1.139E-08  8.597E-09  2.745E-13  5.207E-13  1.00E-07
  8.000E+00 2.02461E-16  3.561E-05  1.134E-08  8.589E-09  2.762E-13  5.269E-13  1.00E-07
  8.100E+00 2.01361E-16  3.616E-05  1.130E-08  8.581E-09  2.778E-13  5.331E-13  1.00E-07
  8.200E+00 2.00257E-16  3.672E-05  1.126E-08  8.573E-09  2.793E-13  5.392E-13  1.00E-07
  8.300E+00 1.99146E-16  3.728E-05  1.122E-08  8.564E-09  2.808E-13  5.454E-13  1.00E-07
  8.400E+00 1.98031E-16  3.784E-05  1.117E-08  8.556E-09  2.823E-13  5.515E-13  1.00E-07
