  5.500E-04 4.06025E-16  1.290E-09  1.674E-08  1.122E-08  1.554E-17  2.606E-17  1.00E-07
  5.750E-04 4.06025E-16  1.349E-09  1.674E-08  1.122E-08  1.625E-17  2.724E-17  1.00E-07
  6.000E-04 4.06025E-16  1.407E-09  1.674E-08  1.122E-08  1.695E-17  2.842E-17  1.00E-07
  6.250E-04 4.06025E-16  1.466E-09  1.674E-08  1.122E-08  1.766E-17  2.961E-17  1.00E-07
  6.500E-04 4.06025E-16  1.525E-09  1.674E-08  1.122E-08  1.837E-17  3.079E-17  1.00E-07
  6.750E-04 4.06025E-16  1.583E-09  1.674E-08  1.122E-08  1.907E-17  3.198E-17  1.00E-07
  7.000E-04 4.06025E-16  1.642E-09  1.674E-08  1.122E-08  1.978E-17  3.316E-17  1.00E-07
  7.250E-04 4.06025E-16  1.700E-09  1.674E-08  1.122E-08  2.048E-17  3.435E-17  1.00E-07
  7.500E-04 4.06025E-16  1.759E-09  1.674E-08  1.122E-08  2.119E-17  3.553E-17  1.00E-07
  7.750E-04 4.06025E-16  1.818E-09  1.674E-08  1.122E-08  2.190E-17  3.672E-17  1.00E-07
  8.000E-04 4.06025E-16  1.876E-09  1.674E-08  1.122E-08  2.260E-17  3.790E-17  1.00E-07
  8.250E-04 4.06025E-16  1.935E-09  1.674E-08  1.122E-08  2.331E-17  3.908E-17  1.00E-07
  8.500E-04 4.06025E-16  1.994E-09  1.674E-08  1.122E-08  2.402E-17  4.027E-17  1.00E-07
  8.750E-04 4.06025E-16  2.052E-09  1.674E-08  1.122E-08  2.472E-17  4.145E-17  1.00E-07
  9.000E-04 4.06025E-16  2.111E-09  1.674E-08  1.122E-08  2.543E-17  4.264E-17  1.00E-07
  9.250E-04 4.06025E-16  2.170E-09  1.674E-08  1.122E-08  2.614E-17  4.382E-17  1.00E-07
  9.500E-04 4.06025E-16  2.228E-09  1.674E-08  1.122E-08  2.684E-17  4.501E-17  1.00E-07
  9.750E-04 4.06025E-16  2.287E-09  1.674E-08  1.122E-08  2.755E-17  4.619E-17  1.00E-07
  1.000E-03 4.06025E-16  2.345E-09  1.674E-08  1.122E-08  2.825E-17  4.737E-17  1.00E-07
  1.250E-03 4.06025E-16  2.932E-09  1.674E-08  1.122E-08  3.532E-17  5.922E-17  1.00E-07
  1.500E-03 4.06025E-16  3.518E-09  1.674E-08  1.122E-08  4.238E-17  7.106E-17  1.00E-07
  1.750E-03 4.06025E-16  4.105E-09  1.674E-08  1.122E-08  4.944E-17  8.290E-17  1.00E-07
  2.000E-03 4.06025E-16  4.691E-09  1.674E-08  1.122E-08  5.651E-17  9.475E-17  1.00E-07
  2.250E-03 4.06025E-16  5.277E-09  1.674E-08  1.122E-08  6.357E-17  1.066E-16  1.00E-07
  2.500E-03 4.06025E-16  5.864E-09  1.674E-08  1.122E-08  7.064E-17  1.184E-16  1.00E-07
  2.750E-03 4.06025E-16  6.450E-09  1.674E-08  1.122E-08  7.770E-17  1.303E-16  1.00E-07
  3.000E-03 4.06025E-16  7.036E-09  1.674E-08  1.122E-08  8.476E-17  1.421E-16  1.00E-07
  3.250E-03 4.06025E-16  7.623E-09  1.674E-08  1.122E-08  9.183E-17  1.540E-16  1.00E-07
  3.500E-03 4.06025E-16  8.209E-09  1.674E-08  1.122E-08  9.889E-17  1.658E-16  1.00E-07
  3.750E-03 4.06025E-16  8.796E-09  1.674E-08  1.122E-08  1.060E-16  1.777E-16  1.00E-07
  4.000E-03 4.06025E-16  9.382E-09  1.674E-08  1.122E-08  1.130E-16  1.895E-16  1.00E-07
  4.250E-03 4.06025E-16  9.968E-09  1.674E-08  1.122E-08  1.201E-16  2.013E-16  1.00E-07
  4.500E-03 4.06025E-16  1.055E-08  1.674E-08  1.122E-08  1.271E-16  2.132E-16  1.00E-07
  4.750E-03 4.06025E-16  1.114E-08  1.674E-08  1.122E-08  1.342E-16  2.250E-16  1.00E-07
  5.000E-03 4.06025E-16  1.173E-08  1.674E-08  1.122E-08  1.413E-16  2.369E-16  1.00E-07
  5.250E-03 4.06025E-16  1.231E-08  1.674E-08  1.122E-08  1.483E-16  2.487E-16  1.00E-07
  5.500E-03 4.06025E-16  1.290E-08  1.674E-08  1.122E-08  1.554E-16  2.606E-16  1.00E-07
  5.750E-03 4.06025E-16  1.349E-08  1.674E-08  1.122E-08  1.625E-16  2.724E-16  1.00E-07
  6.000E-03 4.06025E-16  1.407E-08  1.674E-08  1.122E-08  1.695E-16  2.842E-16  1.00E-07
  6.250E-03 4.06025E-16  1.466E-08  1.674E-08  1.122E-08  1.766E-16  2.961E-16  1.00E-07
  6.500E-03 4.06025E-16  1.525E-08  1.674E-08  1.122E-08  1.837E-16  3.079E-16  1.00E-07
  6.750E-03 4.06025E-16  1.583E-08  1.674E-08  1.122E-08  1.907E-16  3.198E-16  1.00E-07
  7.000E-03 4.06025E-16  1.642E-08  1.674E-08  1.122E-08  1.978E-16  3.316E-16  1.00E-07
  7.250E-03 4.06025E-16  1.700E-08  1.674E-08  1.122E-08  2.048E-16  3.435E-16  1.00E-07
  7.500E-03 4.06025E-16  1.759E-08  1.674E-08  1.122E-08  2.119E-16  3.553E-16  1.00E-07
  7.750E-03 4.06025E-16  1.818E-08  1.674E-08  1.122E-08  2.190E-16  3.672E-16  1.00E-07
  8.000E-03 4.06025E-16  1.876E-08  1.674E-08  1.122E-08  2.260E-16  3.790E-16  1.00E-07
  8.250E-03 4.06025E-16  1.935E-08  1.674E-08  1.122E-08  2.331E-16  3.908E-16  1.00E-07
  8.500E-03 4.06025E-16  1.994E-08  1.674E-08  1.122E-08  2.402E-16  4.027E-16  1.00E-07
  8.750E-03 4.06025E-16  2.052E-08  1.674E-08  1.122E-08  2.472E-16  4.145E-16  1.00E-07
  9.000E-03 4.06025E-16  2.111E-08  1.674E-08  1.122E-08  2.543E-16  4.264E-16  1.00E-07
  9.250E-03 4.06025E-16  2.170E-08  1.674E-08  1.122E-08  2.614E-16  4.382E-16  1.00E-07
  9.500E-03 4.06025E-16  2.228E-08  1.674E-08  1.122E-08  2.684E-16  4.501E-16  1.00E-07
  9.750E-03 4.06025E-16  2.287E-08  1.674E-08  1.122E-08  2.755E-16  4.619E-16  1.00E-07
  1.000E-02 4.06025E-16  2.345E-08  1.674E-08  1.122E-08  2.825E-16  4.737E-16  1.00E-07
  1.250E-02 4.06025E-16  2.932E-08  1.674E-08  1.122E-08  3.532E-16  5.922E-16  1.00E-07
  1.500E-02 4.06024E-16  3.518E-08  1.674E-08  1.122E-08  4.238E-16  7.106E-16  1.00E-07
  1.750E-02 4.06024E-16  4.105E-08  1.674E-08  1.122E-08  4.944E-16  8.290E-16  1.00E-07
  2.000E-02 4.06024E-16  4.691E-08  1.674E-08  1.122E-08  5.651E-16  9.475E-16  1.00E-07
  2.250E-02 4.06024E-16  5.277E-08  1.674E-08  1.122E-08  6.357E-16  1.066E-15  1.00E-07
  2.500E-02 4.06024E-16  5.864E-08  1.674E-08  1.122E-08  7.064E-16  1.184E-15  1.00E-07
  2.750E-02 4.06024E-16  6.450E-08  1.674E-08  1.122E-08  7.770E-16  1.303E-15  1.00E-07
  3.000E-02 4.06024E-16  7.036E-08  1.674E-08  1.122E-08  8.476E-16  1.421E-15  1.00E-07
  3.250E-02 4.06023E-16  7.623E-08  1.674E-08  1.122E-08  9.183E-16  1.540E-15  1.00E-07
  3.500E-02 4.06023E-16  8.209E-08  1.674E-08  1.122E-08  9.889E-16  1.658E-15  1.00E-07
  3.750E-02 4.06023E-16  8.796E-08  1.674E-08  1.122E-08  1.060E-15  1.777E-15  1.00E-07
  4.000E-02 4.06023E-16  9.382E-08  1.674E-08  1.122E-08  1.130E-15  1.895E-15  1.00E-07
  4.250E-02 4.06022E-16  9.968E-08  1.674E-08  1.122E-08  1.201E-15  2.013E-15  1.00E-07
  4.500E-02 4.06022E-16  1.055E-07  1.674E-08  1.122E-08  1.271E-15  2.132E-15  1.00E-07
  4.750E-02 4.06022E-16  1.114E-07  1.674E-08  1.122E-08  1.342E-15  2.250E-15  1.00E-07
  5.000E-02 4.06021E-16  1.173E-07  1.674E-08  1.122E-08  1.413E-15  2.369E-15  1.00E-07
  5.250E-02 4.06021E-16  1.231E-07  1.674E-08  1.122E-08  1.483E-15  2.487E-15  1.00E-07
  5.500E-02 4.06021E-16  1.290E-07  1.674E-08  1.122E-08  1.554E-15  2.606E-15  1.00E-07
  5.750E-02 4.06020E-16  1.349E-07  1.674E-08  1.122E-08  1.625E-15  2.724E-15  1.00E-07
  6.000E-02 4.06020E-16  1.407E-07  1.674E-08  1.122E-08  1.695E-15  2.842E-15  1.00E-07
  6.250E-02 4.06020E-16  1.466E-07  1.674E-08  1.122E-08  1.766E-15  2.961E-15  1.00E-07
  6.500E-02 4.06019E-16  1.525E-07  1.674E-08  1.122E-08  1.836E-15  3.079E-15  1.00E-07
  6.750E-02 4.06019E-16  1.583E-07  1.674E-08  1.122E-08  1.907E-15  3.198E-15  1.00E-07
  7.000E-02 4.06018E-16  1.642E-07  1.674E-08  1.122E-08  1.978E-15  3.316E-15  1.00E-07
  7.250E-02 4.06018E-16  1.700E-07  1.674E-08  1.122E-08  2.048E-15  3.435E-15  1.00E-07
  7.500E-02 4.06017E-16  1.759E-07  1.674E-08  1.122E-08  2.119E-15  3.553E-15  1.00E-07
  7.750E-02 4.06017E-16  1.818E-07  1.674E-08  1.122E-08  2.190E-15  3.671E-15  1.00E-07
  8.000E-02 4.06016E-16  1.876E-07  1.674E-08  1.122E-08  2.260E-15  3.790E-15  1.00E-07
  8.250E-02 4.06016E-16  1.935E-07  1.674E-08  1.122E-08  2.331E-15  3.908E-15  1.00E-07
  8.500E-02 4.06015E-16  1.994E-07  1.674E-08  1.122E-08  2.402E-15  4.027E-15  1.00E-07
  8.750E-02 4.06015E-16  2.052E-07  1.674E-08  1.122E-08  2.472E-15  4.145E-15  1.00E-07
  9.000E-02 4.06014E-16  2.111E-07  1.674E-08  1.122E-08  2.543E-15  4.264E-15  1.00E-07
  9.250E-02 4.06013E-16  2.170E-07  1.674E-08  1.122E-08  2.613E-15  4.382E-15  1.00E-07
  9.500E-02 4.06013E-16  2.228E-07  1.674E-08  1.122E-08  2.684E-15  4.501E-15  1.00E-07
  9.750E-02 4.06012E-16  2.287E-07  1.674E-08  1.122E-08  2.755E-15  4.619E-15  1.00E-07
  1.000E-01 4.06012E-16  2.346E-07  1.674E-08  1.122E-08  2.825E-15  4.737E-15  1.00E-07
  1.250E-01 4.06004E-16  2.932E-07  1.674E-08  1.122E-08  3.532E-15  5.922E-15  1.00E-07
  1.500E-01 4.05995E-16  3.518E-07  1.674E-08  1.122E-08  4.238E-15  7.106E-15  1.00E-07
  1.750E-01 4.05985E-16  4.105E-07  1.674E-08  1.122E-08  4.944E-15  8.290E-15  1.00E-07
  2.000E-01 4.05972E-16  4.691E-07  1.674E-08  1.122E-08  5.650E-15  9.475E-15  1.00E-07
  2.250E-01 4.05958E-16  5.278E-07  1.674E-08  1.122E-08  6.356E-15  1.066E-14  1.00E-07
  2.500E-01 4.05943E-16  5.864E-07  1.674E-08  1.122E-08  7.062E-15  1.184E-14  1.00E-07
  2.750E-01 4.05926E-16  6.451E-07  1.674E-08  1.122E-08  7.768E-15  1.303E-14  1.00E-07
  3.000E-01 4.05907E-16  7.038E-07  1.674E-08  1.122E-08  8.474E-15  1.421E-14  1.00E-07
  3.250E-01 4.05886E-16  7.624E-07  1.674E-08  1.122E-08  9.179E-15  1.540E-14  1.00E-07
  3.500E-01 4.05864E-16  8.211E-07  1.674E-08  1.121E-08  9.885E-15  1.658E-14  1.00E-07
  3.750E-01 4.05840E-16  8.798E-07  1.674E-08  1.121E-08  1.059E-14  1.776E-14  1.00E-07
  4.000E-01 4.05815E-16  9.385E-07  1.673E-08  1.121E-08  1.130E-14  1.895E-14  1.00E-07
  4.250E-01 4.05788E-16  9.971E-07  1.673E-08  1.121E-08  1.200E-14  2.013E-14  1.00E-07
  4.500E-01 4.05759E-16  1.056E-06  1.673E-08  1.121E-08  1.271E-14  2.132E-14  1.00E-07
  4.750E-01 4.05729E-16  1.115E-06  1.673E-08  1.121E-08  1.341E-14  2.250E-14  1.00E-07
  5.000E-01 4.05697E-16  1.173E-06  1.673E-08  1.121E-08  1.412E-14  2.368E-14  1.00E-07
  5.250E-01 4.05663E-16  1.232E-06  1.673E-08  1.121E-08  1.482E-14  2.487E-14  1.00E-07
  5.500E-01 4.05628E-16  1.291E-06  1.673E-08  1.121E-08  1.552E-14  2.605E-14  1.00E-07
  5.750E-01 4.05591E-16  1.349E-06  1.673E-08  1.121E-08  1.623E-14  2.724E-14  1.00E-07
  6.000E-01 4.05553E-16  1.408E-06  1.673E-08  1.121E-08  1.693E-14  2.842E-14  1.00E-07
  6.250E-01 4.05513E-16  1.467E-06  1.673E-08  1.121E-08  1.764E-14  2.960E-14  1.00E-07
  6.500E-01 4.05471E-16  1.526E-06  1.673E-08  1.121E-08  1.834E-14  3.079E-14  1.00E-07
  6.750E-01 4.05428E-16  1.584E-06  1.672E-08  1.121E-08  1.904E-14  3.197E-14  1.00E-07
  7.000E-01 4.05383E-16  1.643E-06  1.672E-08  1.121E-08  1.974E-14  3.316E-14  1.00E-07
  7.250E-01 4.05336E-16  1.702E-06  1.672E-08  1.121E-08  2.045E-14  3.434E-14  1.00E-07
  7.500E-01 4.05288E-16  1.761E-06  1.672E-08  1.121E-08  2.115E-14  3.552E-14  1.00E-07
  7.750E-01 4.05238E-16  1.820E-06  1.672E-08  1.121E-08  2.185E-14  3.671E-14  1.00E-07
  8.000E-01 4.05187E-16  1.878E-06  1.672E-08  1.121E-08  2.255E-14  3.789E-14  1.00E-07
  8.250E-01 4.05133E-16  1.937E-06  1.672E-08  1.121E-08  2.326E-14  3.907E-14  1.00E-07
  8.500E-01 4.05079E-16  1.996E-06  1.671E-08  1.121E-08  2.396E-14  4.026E-14  1.00E-07
  8.750E-01 4.05022E-16  2.055E-06  1.671E-08  1.121E-08  2.466E-14  4.144E-14  1.00E-07
  9.000E-01 4.04964E-16  2.114E-06  1.671E-08  1.121E-08  2.536E-14  4.262E-14  1.00E-07
  9.250E-01 4.04905E-16  2.173E-06  1.671E-08  1.121E-08  2.606E-14  4.381E-14  1.00E-07
  9.500E-01 4.04843E-16  2.232E-06  1.671E-08  1.121E-08  2.676E-14  4.499E-14  1.00E-07
  9.750E-01 4.04781E-16  2.291E-06  1.671E-08  1.121E-08  2.746E-14  4.617E-14  1.00E-07
  1.000E+00 4.04716E-16  2.350E-06  1.671E-08  1.121E-08  2.816E-14  4.736E-14  1.00E-07
  1.100E+00 4.04442E-16  2.585E-06  1.670E-08  1.121E-08  3.095E-14  5.209E-14  1.00E-07
  1.200E+00 4.04142E-16  2.822E-06  1.669E-08  1.121E-08  3.374E-14  5.682E-14  1.00E-07
  1.300E+00 4.03816E-16  3.058E-06  1.668E-08  1.121E-08  3.652E-14  6.155E-14  1.00E-07
  1.400E+00 4.03465E-16  3.295E-06  1.667E-08  1.120E-08  3.929E-14  6.627E-14  1.00E-07
  1.500E+00 4.03088E-16  3.532E-06  1.666E-08  1.120E-08  4.206E-14  7.100E-14  1.00E-07
  1.600E+00 4.02686E-16  3.769E-06  1.665E-08  1.120E-08  4.481E-14  7.572E-14  1.00E-07
  1.700E+00 4.02258E-16  4.007E-06  1.664E-08  1.120E-08  4.756E-14  8.044E-14  1.00E-07
  1.800E+00 4.01805E-16  4.245E-06  1.663E-08  1.120E-08  5.030E-14  8.517E-14  1.00E-07
  1.900E+00 4.01327E-16  4.484E-06  1.661E-08  1.119E-08  5.302E-14  8.988E-14  1.00E-07
  2.000E+00 4.00823E-16  4.723E-06  1.660E-08  1.119E-08  5.574E-14  9.460E-14  1.00E-07
  2.100E+00 4.00295E-16  4.963E-06  1.659E-08  1.119E-08  5.844E-14  9.931E-14  1.00E-07
  2.200E+00 3.99742E-16  5.203E-06  1.657E-08  1.119E-08  6.114E-14  1.040E-13  1.00E-07
  2.300E+00 3.99165E-16  5.443E-06  1.656E-08  1.118E-08  6.382E-14  1.087E-13  1.00E-07
  2.400E+00 3.98562E-16  5.685E-06  1.654E-08  1.118E-08  6.648E-14  1.134E-13  1.00E-07
  2.500E+00 3.97936E-16  5.926E-06  1.652E-08  1.118E-08  6.914E-14  1.181E-13  1.00E-07
  2.600E+00 3.97285E-16  6.169E-06  1.650E-08  1.118E-08  7.178E-14  1.228E-13  1.00E-07
  2.700E+00 3.96611E-16  6.412E-06  1.649E-08  1.117E-08  7.440E-14  1.275E-13  1.00E-07
  2.800E+00 3.95912E-16  6.656E-06  1.647E-08  1.117E-08  7.701E-14  1.322E-13  1.00E-07
  2.900E+00 3.95190E-16  6.900E-06  1.645E-08  1.117E-08  7.960E-14  1.369E-13  1.00E-07
  3.000E+00 3.94444E-16  7.145E-06  1.643E-08  1.116E-08  8.218E-14  1.416E-13  1.00E-07
  3.100E+00 3.93675E-16  7.391E-06  1.641E-08  1.116E-08  8.474E-14  1.463E-13  1.00E-07
  3.200E+00 3.92883E-16  7.637E-06  1.638E-08  1.115E-08  8.728E-14  1.510E-13  1.00E-07
  3.300E+00 3.92067E-16  7.885E-06  1.636E-08  1.115E-08  8.981E-14  1.557E-13  1.00E-07
  3.400E+00 3.91229E-16  8.133E-06  1.634E-08  1.115E-08  9.232E-14  1.603E-13  1.00E-07
  3.500E+00 3.90369E-16  8.382E-06  1.632E-08  1.114E-08  9.481E-14  1.650E-13  1.00E-07
  3.600E+00 3.89486E-16  8.631E-06  1.629E-08  1.114E-08  9.728E-14  1.697E-13  1.00E-07
  3.700E+00 3.88581E-16  8.882E-06  1.627E-08  1.113E-08  9.972E-14  1.743E-13  1.00E-07
  3.800E+00 3.87654E-16  9.134E-06  1.624E-08  1.113E-08  1.022E-13  1.790E-13  1.00E-07
  3.900E+00 3.86705E-16  9.386E-06  1.622E-08  1.113E-08  1.046E-13  1.837E-13  1.00E-07
  4.000E+00 3.85735E-16  9.640E-06  1.619E-08  1.112E-08  1.069E-13  1.883E-13  1.00E-07
  4.100E+00 3.84744E-16  9.894E-06  1.616E-08  1.112E-08  1.093E-13  1.930E-13  1.00E-07
  4.200E+00 3.83732E-16  1.015E-05  1.613E-08  1.111E-08  1.117E-13  1.976E-13  1.00E-07
  4.300E+00 3.82698E-16  1.041E-05  1.610E-08  1.111E-08  1.140E-13  2.022E-13  1.00E-07
  4.400E+00 3.81645E-16  1.066E-05  1.608E-08  1.110E-08  1.163E-13  2.069E-13  1.00E-07
  4.500E+00 3.80571E-16  1.092E-05  1.605E-08  1.110E-08  1.185E-13  2.115E-13  1.00E-07
  4.600E+00 3.79477E-16  1.118E-05  1.602E-08  1.109E-08  1.208E-13  2.161E-13  1.00E-07
  4.700E+00 3.78363E-16  1.144E-05  1.598E-08  1.108E-08  1.230E-13  2.207E-13  1.00E-07
  4.800E+00 3.77230E-16  1.170E-05  1.595E-08  1.108E-08  1.252E-13  2.253E-13  1.00E-07
  4.900E+00 3.76077E-16  1.197E-05  1.592E-08  1.107E-08  1.274E-13  2.300E-13  1.00E-07
  5.000E+00 3.74906E-16  1.223E-05  1.589E-08  1.107E-08  1.295E-13  2.346E-13  1.00E-07
  5.100E+00 3.73716E-16  1.250E-05  1.585E-08  1.106E-08  1.317E-13  2.392E-13  1.00E-07
  5.200E+00 3.72507E-16  1.276E-05  1.582E-08  1.106E-08  1.338E-13  2.437E-13  1.00E-07
  5.300E+00 3.71280E-16  1.303E-05  1.579E-08  1.105E-08  1.358E-13  2.483E-13  1.00E-07
  5.400E+00 3.70035E-16  1.330E-05  1.575E-08  1.104E-08  1.379E-13  2.529E-13  1.00E-07
  5.500E+00 3.68773E-16  1.357E-05  1.572E-08  1.104E-08  1.399E-13  2.575E-13  1.00E-07
  5.600E+00 3.67493E-16  1.384E-05  1.568E-08  1.103E-08  1.419E-13  2.621E-13  1.00E-07
  5.700E+00 3.66196E-16  1.412E-05  1.564E-08  1.102E-08  1.438E-13  2.666E-13  1.00E-07
  5.800E+00 3.64882E-16  1.439E-05  1.561E-08  1.102E-08  1.458E-13  2.712E-13  1.00E-07
  5.900E+00 3.63552E-16  1.467E-05  1.557E-08  1.101E-08  1.477E-13  2.757E-13  1.00E-07
  6.000E+00 3.62206E-16  1.495E-05  1.553E-08  1.100E-08  1.495E-13  2.803E-13  1.00E-07
  6.100E+00 3.60844E-16  1.523E-05  1.549E-08  1.100E-08  1.514E-13  2.848E-13  1.00E-07
  6.200E+00 3.59466E-16  1.551E-05  1.545E-08  1.099E-08  1.532E-13  2.893E-13  1.00E-07
  6.300E+00 3.58073E-16  1.579E-05  1.541E-08  1.098E-08  1.550E-13  2.938E-13  1.00E-07
  6.400E+00 3.56665E-16  1.607E-05  1.537E-08  1.097E-08  1.567E-13  2.984E-13  1.00E-07
  6.500E+00 3.55242E-16  1.636E-05  1.533E-08  1.097E-08  1.584E-13  3.029E-13  1.00E-07
  6.600E+00 3.53804E-16  1.665E-05  1.529E-08  1.096E-08  1.601E-13  3.074E-13  1.00E-07
  6.700E+00 3.52353E-16  1.693E-05  1.525E-08  1.095E-08  1.618E-13  3.119E-13  1.00E-07
  6.800E+00 3.50887E-16  1.722E-05  1.520E-08  1.094E-08  1.634E-13  3.164E-13  1.00E-07
  6.900E+00 3.49409E-16  1.752E-05  1.516E-08  1.093E-08  1.650E-13  3.208E-13  1.00E-07
  7.000E+00 3.47916E-16  1.781E-05  1.512E-08  1.093E-08  1.665E-13  3.253E-13  1.00E-07
  7.100E+00 3.46411E-16  1.811E-05  1.507E-08  1.092E-08  1.680E-13  3.298E-13  1.00E-07
  7.200E+00 3.44894E-16  1.840E-05  1.503E-08  1.091E-08  1.695E-13  3.342E-13  1.00E-07
  7.300E+00 3.43364E-16  1.870E-05  1.498E-08  1.090E-08  1.710E-13  3.387E-13  1.00E-07
  7.400E+00 3.41822E-16  1.900E-05  1.494E-08  1.089E-08  1.724E-13  3.431E-13  1.00E-07
  7.500E+00 3.40268E-16  1.931E-05  1.489E-08  1.088E-08  1.738E-13  3.476E-13  1.00E-07
  7.600E+00 3.38703E-16  1.961E-05  1.485E-08  1.088E-08  1.751E-13  3.520E-13  1.00E-07
  7.700E+00 3.37127E-16  1.992E-05  1.480E-08  1.087E-08  1.764E-13  3.564E-13  1.00E-07
  7.800E+00 3.35540E-16  2.023E-05  1.475E-08  1.086E-08  1.777E-13  3.608E-13  1.00E-07
  7.900E+00 3.33943E-16  2.054E-05  1.471E-08  1.085E-08  1.790E-13  3.652E-13  1.00E-07
  8.000E+00 3.32336E-16  2.085E-05  1.466E-08  1.084E-08  1.802E-13  3.696E-13  1.00E-07
  8.100E+00 3.30718E-16  2.116E-05  1.461E-08  1.083E-08  1.814E-13  3.740E-13  1.00E-07
  8.200E+00 3.29091E-16  2.148E-05  1.456E-08  1.082E-08  1.825E-13  3.784E-13  1.00E-07
  8.300E+00 3.27455E-16  2.180E-05  1.451E-08  1.081E-08  1.836E-13  3.827E-13  1.00E-07
  8.400E+00 3.25810E-16  2.212E-05  1.446E-08  1.080E-08  1.847E-13  3.871E-13  1.00E-07
  8.500E+00 3.24156E-16  2.244E-05  1.441E-08  1.079E-08  1.857E-13  3.915E-13  1.00E-07
