 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.70000E+02 eV = 9.92232E+00 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.34937E-16 cm**2 = 4.81867E+00 a0**2
 # 1st transport cross section = 4.45349E-17 cm**2 = 1.59037E+00 a0**2
 # 2nd transport cross section = 6.13706E-17 cm**2 = 2.19158E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  3.500E-01  9.32888E-06  2.48399E-16  8.87048E+00  1.37884E-06  1.0E-07
  3.750E-01  1.07092E-05  2.48384E-16  8.86994E+00  1.47738E-06  1.0E-07
  4.000E-01  1.21846E-05  2.48367E-16  8.86936E+00  1.57594E-06  1.0E-07
  4.250E-01  1.37553E-05  2.48350E-16  8.86874E+00  1.67450E-06  1.0E-07
  4.500E-01  1.54212E-05  2.48332E-16  8.86809E+00  1.77307E-06  1.0E-07
  4.750E-01  1.71822E-05  2.48312E-16  8.86740E+00  1.87166E-06  1.0E-07
  5.000E-01  1.90385E-05  2.48292E-16  8.86667E+00  1.97026E-06  1.0E-07
  5.250E-01  2.09899E-05  2.48271E-16  8.86590E+00  2.06888E-06  1.0E-07
  5.500E-01  2.30365E-05  2.48248E-16  8.86510E+00  2.16751E-06  1.0E-07
  5.750E-01  2.51783E-05  2.48225E-16  8.86426E+00  2.26615E-06  1.0E-07
  6.000E-01  2.74153E-05  2.48200E-16  8.86339E+00  2.36481E-06  1.0E-07
  6.250E-01  2.97475E-05  2.48174E-16  8.86247E+00  2.46349E-06  1.0E-07
  6.500E-01  3.21749E-05  2.48148E-16  8.86152E+00  2.56219E-06  1.0E-07
  6.750E-01  3.46974E-05  2.48120E-16  8.86053E+00  2.66091E-06  1.0E-07
  7.000E-01  3.73152E-05  2.48091E-16  8.85951E+00  2.75964E-06  1.0E-07
  7.250E-01  4.00281E-05  2.48062E-16  8.85844E+00  2.85840E-06  1.0E-07
  7.500E-01  4.28362E-05  2.48031E-16  8.85734E+00  2.95717E-06  1.0E-07
  7.750E-01  4.57395E-05  2.47999E-16  8.85621E+00  3.05597E-06  1.0E-07
  8.000E-01  4.87380E-05  2.47966E-16  8.85503E+00  3.15479E-06  1.0E-07
  8.250E-01  5.18317E-05  2.47932E-16  8.85382E+00  3.25363E-06  1.0E-07
  8.500E-01  5.50205E-05  2.47897E-16  8.85257E+00  3.35249E-06  1.0E-07
  8.750E-01  5.83045E-05  2.47861E-16  8.85129E+00  3.45138E-06  1.0E-07
  9.000E-01  6.16838E-05  2.47824E-16  8.84997E+00  3.55030E-06  1.0E-07
  9.250E-01  6.51582E-05  2.47786E-16  8.84861E+00  3.64924E-06  1.0E-07
  9.500E-01  6.87277E-05  2.47747E-16  8.84721E+00  3.74820E-06  1.0E-07
  9.750E-01  7.23925E-05  2.47707E-16  8.84578E+00  3.84720E-06  1.0E-07
  1.000E+00  7.61524E-05  2.47666E-16  8.84431E+00  3.94622E-06  1.0E-07
  1.100E+00  9.21439E-05  2.47491E-16  8.83806E+00  4.34259E-06  1.0E-07
  1.200E+00  1.09658E-04  2.47300E-16  8.83123E+00  4.73947E-06  1.0E-07
  1.300E+00  1.28695E-04  2.47092E-16  8.82381E+00  5.13690E-06  1.0E-07
  1.400E+00  1.49255E-04  2.46868E-16  8.81580E+00  5.53492E-06  1.0E-07
  1.500E+00  1.71338E-04  2.46627E-16  8.80721E+00  5.93357E-06  1.0E-07
  1.600E+00  1.94942E-04  2.46370E-16  8.79805E+00  6.33292E-06  1.0E-07
  1.700E+00  2.20070E-04  2.46097E-16  8.78830E+00  6.73299E-06  1.0E-07
  1.800E+00  2.46720E-04  2.45808E-16  8.77798E+00  7.13384E-06  1.0E-07
  1.900E+00  2.74892E-04  2.45503E-16  8.76709E+00  7.53551E-06  1.0E-07
  2.000E+00  3.04586E-04  2.45183E-16  8.75563E+00  7.93805E-06  1.0E-07
  2.100E+00  3.35803E-04  2.44846E-16  8.74360E+00  8.34151E-06  1.0E-07
  2.200E+00  3.68542E-04  2.44493E-16  8.73101E+00  8.74593E-06  1.0E-07
  2.300E+00  4.02802E-04  2.44125E-16  8.71786E+00  9.15135E-06  1.0E-07
  2.400E+00  4.38585E-04  2.43741E-16  8.70415E+00  9.55783E-06  1.0E-07
  2.500E+00  4.75889E-04  2.43342E-16  8.68990E+00  9.96541E-06  1.0E-07
  2.600E+00  5.14715E-04  2.42927E-16  8.67509E+00  1.03741E-05  1.0E-07
  2.700E+00  5.55063E-04  2.42497E-16  8.65974E+00  1.07840E-05  1.0E-07
  2.800E+00  5.96931E-04  2.42052E-16  8.64384E+00  1.11952E-05  1.0E-07
  2.900E+00  6.40321E-04  2.41592E-16  8.62741E+00  1.16076E-05  1.0E-07
  3.000E+00  6.85233E-04  2.41117E-16  8.61045E+00  1.20214E-05  1.0E-07
  3.100E+00  7.31665E-04  2.40627E-16  8.59296E+00  1.24366E-05  1.0E-07
  3.200E+00  7.79618E-04  2.40123E-16  8.57495E+00  1.28532E-05  1.0E-07
  3.300E+00  8.29092E-04  2.39604E-16  8.55642E+00  1.32712E-05  1.0E-07
  3.400E+00  8.80086E-04  2.39071E-16  8.53737E+00  1.36908E-05  1.0E-07
  3.500E+00  9.32601E-04  2.38523E-16  8.51782E+00  1.41119E-05  1.0E-07
  3.600E+00  9.86636E-04  2.37961E-16  8.49776E+00  1.45347E-05  1.0E-07
  3.700E+00  1.04219E-03  2.37386E-16  8.47720E+00  1.49591E-05  1.0E-07
  3.800E+00  1.09927E-03  2.36796E-16  8.45615E+00  1.53852E-05  1.0E-07
  3.900E+00  1.15786E-03  2.36193E-16  8.43460E+00  1.58131E-05  1.0E-07
  4.000E+00  1.21797E-03  2.35576E-16  8.41258E+00  1.62428E-05  1.0E-07
  4.100E+00  1.27961E-03  2.34946E-16  8.39008E+00  1.66744E-05  1.0E-07
  4.200E+00  1.34276E-03  2.34303E-16  8.36711E+00  1.71078E-05  1.0E-07
  4.300E+00  1.40743E-03  2.33646E-16  8.34367E+00  1.75432E-05  1.0E-07
  4.400E+00  1.47362E-03  2.32977E-16  8.31977E+00  1.79806E-05  1.0E-07
  4.500E+00  1.54133E-03  2.32295E-16  8.29541E+00  1.84201E-05  1.0E-07
  4.600E+00  1.61056E-03  2.31601E-16  8.27061E+00  1.88616E-05  1.0E-07
  4.700E+00  1.68131E-03  2.30894E-16  8.24536E+00  1.93053E-05  1.0E-07
  4.800E+00  1.75357E-03  2.30174E-16  8.21968E+00  1.97512E-05  1.0E-07
  4.900E+00  1.82735E-03  2.29443E-16  8.19357E+00  2.01993E-05  1.0E-07
  5.000E+00  1.90265E-03  2.28700E-16  8.16703E+00  2.06497E-05  1.0E-07
  5.100E+00  1.97947E-03  2.27945E-16  8.14008E+00  2.11024E-05  1.0E-07
  5.200E+00  2.05780E-03  2.27179E-16  8.11271E+00  2.15575E-05  1.0E-07
  5.300E+00  2.13765E-03  2.26401E-16  8.08494E+00  2.20151E-05  1.0E-07
  5.400E+00  2.21902E-03  2.25613E-16  8.05678E+00  2.24751E-05  1.0E-07
  5.500E+00  2.30190E-03  2.24813E-16  8.02822E+00  2.29377E-05  1.0E-07
  5.600E+00  2.38630E-03  2.24003E-16  7.99928E+00  2.34029E-05  1.0E-07
  5.700E+00  2.47222E-03  2.23181E-16  7.96996E+00  2.38707E-05  1.0E-07
  5.800E+00  2.55965E-03  2.22350E-16  7.94026E+00  2.43412E-05  1.0E-07
  5.900E+00  2.64859E-03  2.21508E-16  7.91021E+00  2.48144E-05  1.0E-07
  6.000E+00  2.73905E-03  2.20657E-16  7.87979E+00  2.52904E-05  1.0E-07
  6.100E+00  2.83103E-03  2.19795E-16  7.84903E+00  2.57693E-05  1.0E-07
  6.200E+00  2.92452E-03  2.18924E-16  7.81792E+00  2.62510E-05  1.0E-07
  6.300E+00  3.01952E-03  2.18044E-16  7.78648E+00  2.67357E-05  1.0E-07
  6.400E+00  3.11604E-03  2.17154E-16  7.75470E+00  2.72233E-05  1.0E-07
  6.500E+00  3.21407E-03  2.16255E-16  7.72260E+00  2.77140E-05  1.0E-07
  6.600E+00  3.31362E-03  2.15347E-16  7.69019E+00  2.82078E-05  1.0E-07
  6.700E+00  3.41468E-03  2.14431E-16  7.65747E+00  2.87047E-05  1.0E-07
  6.800E+00  3.51725E-03  2.13506E-16  7.62445E+00  2.92049E-05  1.0E-07
  6.900E+00  3.62133E-03  2.12573E-16  7.59113E+00  2.97082E-05  1.0E-07
  7.000E+00  3.72692E-03  2.11632E-16  7.55753E+00  3.02149E-05  1.0E-07
  7.100E+00  3.83403E-03  2.10684E-16  7.52365E+00  3.07249E-05  1.0E-07
  7.200E+00  3.94265E-03  2.09727E-16  7.48949E+00  3.12383E-05  1.0E-07
  7.300E+00  4.05278E-03  2.08763E-16  7.45507E+00  3.17552E-05  1.0E-07
  7.400E+00  4.16442E-03  2.07792E-16  7.42039E+00  3.22756E-05  1.0E-07
  7.500E+00  4.27757E-03  2.06814E-16  7.38545E+00  3.27995E-05  1.0E-07
  7.600E+00  4.39223E-03  2.05829E-16  7.35028E+00  3.33271E-05  1.0E-07
  7.700E+00  4.50840E-03  2.04837E-16  7.31486E+00  3.38583E-05  1.0E-07
  7.800E+00  4.62608E-03  2.03839E-16  7.27922E+00  3.43933E-05  1.0E-07
  7.900E+00  4.74527E-03  2.02835E-16  7.24336E+00  3.49320E-05  1.0E-07
  8.000E+00  4.86597E-03  2.01824E-16  7.20727E+00  3.54745E-05  1.0E-07
  8.100E+00  4.98817E-03  2.00808E-16  7.17098E+00  3.60209E-05  1.0E-07
