 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.24000E+02 eV = 8.23185E+00 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: point charge
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.72277E-16 cm**2 = 6.15212E+00 a0**2
 # 1st transport cross section = 4.21064E-17 cm**2 = 1.50365E+00 a0**2
 # 2nd transport cross section = 6.61484E-17 cm**2 = 2.36220E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  2.500E-02  4.75965E-08  4.36781E-16  1.55977E+01  5.39301E-08  1.0E-07
  2.750E-02  5.75917E-08  4.36781E-16  1.55977E+01  5.93232E-08  1.0E-07
  3.000E-02  6.85389E-08  4.36780E-16  1.55977E+01  6.47162E-08  1.0E-07
  3.250E-02  8.04380E-08  4.36780E-16  1.55977E+01  7.01093E-08  1.0E-07
  3.500E-02  9.32891E-08  4.36780E-16  1.55977E+01  7.55023E-08  1.0E-07
  3.750E-02  1.07092E-07  4.36779E-16  1.55977E+01  8.08954E-08  1.0E-07
  4.000E-02  1.21847E-07  4.36779E-16  1.55977E+01  8.62884E-08  1.0E-07
  4.250E-02  1.37554E-07  4.36779E-16  1.55976E+01  9.16815E-08  1.0E-07
  4.500E-02  1.54213E-07  4.36778E-16  1.55976E+01  9.70746E-08  1.0E-07
  4.750E-02  1.71823E-07  4.36778E-16  1.55976E+01  1.02468E-07  1.0E-07
  5.000E-02  1.90386E-07  4.36777E-16  1.55976E+01  1.07861E-07  1.0E-07
  5.250E-02  2.09900E-07  4.36777E-16  1.55976E+01  1.13254E-07  1.0E-07
  5.500E-02  2.30367E-07  4.36776E-16  1.55976E+01  1.18647E-07  1.0E-07
  5.750E-02  2.51785E-07  4.36776E-16  1.55975E+01  1.24040E-07  1.0E-07
  6.000E-02  2.74156E-07  4.36775E-16  1.55975E+01  1.29433E-07  1.0E-07
  6.250E-02  2.97478E-07  4.36775E-16  1.55975E+01  1.34826E-07  1.0E-07
  6.500E-02  3.21752E-07  4.36774E-16  1.55975E+01  1.40219E-07  1.0E-07
  6.750E-02  3.46978E-07  4.36773E-16  1.55975E+01  1.45613E-07  1.0E-07
  7.000E-02  3.73156E-07  4.36773E-16  1.55974E+01  1.51006E-07  1.0E-07
  7.250E-02  4.00286E-07  4.36772E-16  1.55974E+01  1.56399E-07  1.0E-07
  7.500E-02  4.28368E-07  4.36771E-16  1.55974E+01  1.61792E-07  1.0E-07
  7.750E-02  4.57402E-07  4.36770E-16  1.55974E+01  1.67185E-07  1.0E-07
  8.000E-02  4.87388E-07  4.36770E-16  1.55973E+01  1.72579E-07  1.0E-07
  8.250E-02  5.18325E-07  4.36769E-16  1.55973E+01  1.77972E-07  1.0E-07
  8.500E-02  5.50215E-07  4.36768E-16  1.55973E+01  1.83365E-07  1.0E-07
  8.750E-02  5.83057E-07  4.36767E-16  1.55972E+01  1.88758E-07  1.0E-07
  9.000E-02  6.16850E-07  4.36766E-16  1.55972E+01  1.94152E-07  1.0E-07
  9.250E-02  6.51596E-07  4.36765E-16  1.55972E+01  1.99545E-07  1.0E-07
  9.500E-02  6.87293E-07  4.36764E-16  1.55971E+01  2.04938E-07  1.0E-07
  9.750E-02  7.23942E-07  4.36763E-16  1.55971E+01  2.10332E-07  1.0E-07
  1.000E-01  7.61543E-07  4.36763E-16  1.55971E+01  2.15725E-07  1.0E-07
  1.250E-01  1.18991E-06  4.36751E-16  1.55967E+01  2.69659E-07  1.0E-07
  1.500E-01  1.71347E-06  4.36738E-16  1.55962E+01  3.23596E-07  1.0E-07
  1.750E-01  2.33223E-06  4.36722E-16  1.55956E+01  3.77535E-07  1.0E-07
  2.000E-01  3.04617E-06  4.36704E-16  1.55950E+01  4.31477E-07  1.0E-07
  2.250E-01  3.85531E-06  4.36683E-16  1.55942E+01  4.85423E-07  1.0E-07
  2.500E-01  4.75964E-06  4.36659E-16  1.55934E+01  5.39373E-07  1.0E-07
  2.750E-01  5.75916E-06  4.36633E-16  1.55925E+01  5.93327E-07  1.0E-07
  3.000E-01  6.85388E-06  4.36605E-16  1.55915E+01  6.47285E-07  1.0E-07
  3.250E-01  8.04378E-06  4.36574E-16  1.55904E+01  7.01249E-07  1.0E-07
  3.500E-01  9.32888E-06  4.36541E-16  1.55892E+01  7.55219E-07  1.0E-07
  3.750E-01  1.07092E-05  4.36506E-16  1.55879E+01  8.09194E-07  1.0E-07
  4.000E-01  1.21846E-05  4.36468E-16  1.55865E+01  8.63176E-07  1.0E-07
  4.250E-01  1.37553E-05  4.36427E-16  1.55851E+01  9.17165E-07  1.0E-07
  4.500E-01  1.54212E-05  4.36384E-16  1.55836E+01  9.71161E-07  1.0E-07
  4.750E-01  1.71822E-05  4.36339E-16  1.55819E+01  1.02517E-06  1.0E-07
  5.000E-01  1.90385E-05  4.36291E-16  1.55802E+01  1.07918E-06  1.0E-07
  5.250E-01  2.09899E-05  4.36241E-16  1.55784E+01  1.13320E-06  1.0E-07
  5.500E-01  2.30365E-05  4.36188E-16  1.55765E+01  1.18723E-06  1.0E-07
  5.750E-01  2.51783E-05  4.36133E-16  1.55746E+01  1.24127E-06  1.0E-07
  6.000E-01  2.74153E-05  4.36075E-16  1.55725E+01  1.29532E-06  1.0E-07
  6.250E-01  2.97475E-05  4.36015E-16  1.55704E+01  1.34938E-06  1.0E-07
  6.500E-01  3.21749E-05  4.35952E-16  1.55681E+01  1.40345E-06  1.0E-07
  6.750E-01  3.46974E-05  4.35887E-16  1.55658E+01  1.45753E-06  1.0E-07
  7.000E-01  3.73152E-05  4.35820E-16  1.55634E+01  1.51162E-06  1.0E-07
  7.250E-01  4.00281E-05  4.35750E-16  1.55609E+01  1.56573E-06  1.0E-07
  7.500E-01  4.28362E-05  4.35678E-16  1.55583E+01  1.61985E-06  1.0E-07
  7.750E-01  4.57395E-05  4.35603E-16  1.55557E+01  1.67398E-06  1.0E-07
  8.000E-01  4.87380E-05  4.35526E-16  1.55529E+01  1.72812E-06  1.0E-07
  8.250E-01  5.18317E-05  4.35446E-16  1.55501E+01  1.78228E-06  1.0E-07
  8.500E-01  5.50205E-05  4.35364E-16  1.55471E+01  1.83645E-06  1.0E-07
  8.750E-01  5.83045E-05  4.35280E-16  1.55441E+01  1.89064E-06  1.0E-07
  9.000E-01  6.16838E-05  4.35193E-16  1.55410E+01  1.94484E-06  1.0E-07
  9.250E-01  6.51582E-05  4.35104E-16  1.55378E+01  1.99906E-06  1.0E-07
  9.500E-01  6.87277E-05  4.35012E-16  1.55346E+01  2.05329E-06  1.0E-07
  9.750E-01  7.23925E-05  4.34918E-16  1.55312E+01  2.10754E-06  1.0E-07
  1.000E+00  7.61524E-05  4.34821E-16  1.55277E+01  2.16181E-06  1.0E-07
  1.100E+00  9.21439E-05  4.34411E-16  1.55131E+01  2.37905E-06  1.0E-07
  1.200E+00  1.09658E-04  4.33962E-16  1.54971E+01  2.59660E-06  1.0E-07
  1.300E+00  1.28695E-04  4.33475E-16  1.54797E+01  2.81449E-06  1.0E-07
  1.400E+00  1.49255E-04  4.32950E-16  1.54609E+01  3.03273E-06  1.0E-07
  1.500E+00  1.71338E-04  4.32387E-16  1.54408E+01  3.25135E-06  1.0E-07
  1.600E+00  1.94942E-04  4.31786E-16  1.54193E+01  3.47040E-06  1.0E-07
  1.700E+00  2.20070E-04  4.31147E-16  1.53965E+01  3.68988E-06  1.0E-07
  1.800E+00  2.46720E-04  4.30471E-16  1.53724E+01  3.90984E-06  1.0E-07
  1.900E+00  2.74892E-04  4.29758E-16  1.53469E+01  4.13029E-06  1.0E-07
  2.000E+00  3.04586E-04  4.29009E-16  1.53202E+01  4.35127E-06  1.0E-07
  2.100E+00  3.35803E-04  4.28222E-16  1.52921E+01  4.57280E-06  1.0E-07
  2.200E+00  3.68542E-04  4.27400E-16  1.52627E+01  4.79492E-06  1.0E-07
  2.300E+00  4.02802E-04  4.26541E-16  1.52321E+01  5.01764E-06  1.0E-07
  2.400E+00  4.38585E-04  4.25647E-16  1.52001E+01  5.24100E-06  1.0E-07
  2.500E+00  4.75889E-04  4.24717E-16  1.51669E+01  5.46503E-06  1.0E-07
  2.600E+00  5.14715E-04  4.23753E-16  1.51325E+01  5.68975E-06  1.0E-07
  2.700E+00  5.55063E-04  4.22753E-16  1.50968E+01  5.91518E-06  1.0E-07
  2.800E+00  5.96931E-04  4.21720E-16  1.50599E+01  6.14137E-06  1.0E-07
  2.900E+00  6.40321E-04  4.20652E-16  1.50217E+01  6.36833E-06  1.0E-07
  3.000E+00  6.85233E-04  4.19550E-16  1.49824E+01  6.59610E-06  1.0E-07
  3.100E+00  7.31665E-04  4.18416E-16  1.49419E+01  6.82470E-06  1.0E-07
  3.200E+00  7.79618E-04  4.17248E-16  1.49002E+01  7.05416E-06  1.0E-07
  3.300E+00  8.29092E-04  4.16048E-16  1.48573E+01  7.28450E-06  1.0E-07
  3.400E+00  8.80086E-04  4.14816E-16  1.48133E+01  7.51577E-06  1.0E-07
  3.500E+00  9.32601E-04  4.13552E-16  1.47682E+01  7.74797E-06  1.0E-07
  3.600E+00  9.86636E-04  4.12257E-16  1.47220E+01  7.98115E-06  1.0E-07
  3.700E+00  1.04219E-03  4.10931E-16  1.46746E+01  8.21533E-06  1.0E-07
  3.800E+00  1.09927E-03  4.09575E-16  1.46262E+01  8.45053E-06  1.0E-07
  3.900E+00  1.15786E-03  4.08189E-16  1.45767E+01  8.68679E-06  1.0E-07
  4.000E+00  1.21797E-03  4.06773E-16  1.45261E+01  8.92413E-06  1.0E-07
  4.100E+00  1.27961E-03  4.05328E-16  1.44745E+01  9.16259E-06  1.0E-07
  4.200E+00  1.34276E-03  4.03855E-16  1.44219E+01  9.40219E-06  1.0E-07
  4.300E+00  1.40743E-03  4.02354E-16  1.43683E+01  9.64295E-06  1.0E-07
  4.400E+00  1.47362E-03  4.00825E-16  1.43137E+01  9.88491E-06  1.0E-07
  4.500E+00  1.54133E-03  3.99269E-16  1.42582E+01  1.01281E-05  1.0E-07
  4.600E+00  1.61056E-03  3.97687E-16  1.42016E+01  1.03725E-05  1.0E-07
  4.700E+00  1.68131E-03  3.96078E-16  1.41442E+01  1.06182E-05  1.0E-07
  4.800E+00  1.75357E-03  3.94444E-16  1.40858E+01  1.08653E-05  1.0E-07
  4.900E+00  1.82735E-03  3.92784E-16  1.40266E+01  1.11136E-05  1.0E-07
  5.000E+00  1.90265E-03  3.91101E-16  1.39665E+01  1.13634E-05  1.0E-07
  5.100E+00  1.97947E-03  3.89393E-16  1.39055E+01  1.16145E-05  1.0E-07
  5.200E+00  2.05780E-03  3.87661E-16  1.38436E+01  1.18670E-05  1.0E-07
  5.300E+00  2.13765E-03  3.85907E-16  1.37810E+01  1.21210E-05  1.0E-07
  5.400E+00  2.21902E-03  3.84130E-16  1.37175E+01  1.23765E-05  1.0E-07
  5.500E+00  2.30190E-03  3.82331E-16  1.36533E+01  1.26334E-05  1.0E-07
  5.600E+00  2.38630E-03  3.80511E-16  1.35883E+01  1.28920E-05  1.0E-07
  5.700E+00  2.47222E-03  3.78670E-16  1.35225E+01  1.31520E-05  1.0E-07
  5.800E+00  2.55965E-03  3.76808E-16  1.34561E+01  1.34137E-05  1.0E-07
  5.900E+00  2.64859E-03  3.74927E-16  1.33889E+01  1.36770E-05  1.0E-07
  6.000E+00  2.73905E-03  3.73027E-16  1.33210E+01  1.39419E-05  1.0E-07
  6.100E+00  2.83103E-03  3.71107E-16  1.32525E+01  1.42085E-05  1.0E-07
  6.200E+00  2.92452E-03  3.69170E-16  1.31833E+01  1.44768E-05  1.0E-07
  6.300E+00  3.01952E-03  3.67215E-16  1.31135E+01  1.47468E-05  1.0E-07
  6.400E+00  3.11604E-03  3.65243E-16  1.30431E+01  1.50186E-05  1.0E-07
  6.500E+00  3.21407E-03  3.63255E-16  1.29721E+01  1.52922E-05  1.0E-07
  6.600E+00  3.31362E-03  3.61250E-16  1.29005E+01  1.55676E-05  1.0E-07
  6.700E+00  3.41468E-03  3.59230E-16  1.28283E+01  1.58449E-05  1.0E-07
  6.800E+00  3.51725E-03  3.57195E-16  1.27557E+01  1.61240E-05  1.0E-07
  6.900E+00  3.62133E-03  3.55146E-16  1.26825E+01  1.64050E-05  1.0E-07
  7.000E+00  3.72692E-03  3.53083E-16  1.26088E+01  1.66880E-05  1.0E-07
  7.100E+00  3.83403E-03  3.51007E-16  1.25347E+01  1.69729E-05  1.0E-07
  7.200E+00  3.94265E-03  3.48918E-16  1.24601E+01  1.72598E-05  1.0E-07
  7.300E+00  4.05278E-03  3.46817E-16  1.23851E+01  1.75487E-05  1.0E-07
  7.400E+00  4.16442E-03  3.44704E-16  1.23096E+01  1.78396E-05  1.0E-07
  7.500E+00  4.27757E-03  3.42580E-16  1.22338E+01  1.81326E-05  1.0E-07
  7.600E+00  4.39223E-03  3.40446E-16  1.21575E+01  1.84278E-05  1.0E-07
  7.700E+00  4.50840E-03  3.38301E-16  1.20810E+01  1.87250E-05  1.0E-07
  7.800E+00  4.62608E-03  3.36147E-16  1.20040E+01  1.90244E-05  1.0E-07
  7.900E+00  4.74527E-03  3.33984E-16  1.19268E+01  1.93260E-05  1.0E-07
  8.000E+00  4.86597E-03  3.31812E-16  1.18492E+01  1.96298E-05  1.0E-07
  8.100E+00  4.98817E-03  3.29632E-16  1.17714E+01  1.99358E-05  1.0E-07
  8.200E+00  5.11188E-03  3.27445E-16  1.16933E+01  2.02441E-05  1.0E-07
  8.300E+00  5.23711E-03  3.25251E-16  1.16149E+01  2.05547E-05  1.0E-07
  8.400E+00  5.36383E-03  3.23050E-16  1.15363E+01  2.08676E-05  1.0E-07
  8.500E+00  5.49207E-03  3.20843E-16  1.14575E+01  2.11828E-05  1.0E-07
  8.600E+00  5.62181E-03  3.18631E-16  1.13785E+01  2.15005E-05  1.0E-07
