

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      8.89042173E-01      0.00000000E+00
       1     -1.10694870E+00     -1.10500385E+00
       2      4.66327493E-01      4.66468521E-01
       3      1.12597899E-01      1.12618352E-01
       4      3.16614271E-02      3.16663782E-02
       5      9.48647247E-03      9.48786733E-03
       6      2.93913410E-03      2.93955152E-03
       7      9.30074631E-04      9.30203671E-04
       8      2.98648684E-04      2.98689428E-04
       9      9.69055839E-05      9.69186421E-05
      10      3.16838860E-05      3.16881168E-05
      11      1.04169335E-05      1.04183153E-05
      12      3.43882316E-06      3.43927706E-06
      13      1.13862714E-06      1.13877688E-06
      14      3.77846734E-07      3.77896288E-07
      15      1.25592859E-07      1.25609298E-07
      16      4.17973494E-08      4.18028093E-08
      17      1.39230482E-08      1.39248585E-08
      18      4.64110339E-09      4.64170925E-09
      19      1.54784781E-09      1.54805100E-09
      20      5.16424820E-10      5.16492094E-10
      21      1.72359300E-10      1.72383017E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  7.950E+01 6.60641E-18  3.992E-03 -2.044E-09  1.558E-09 -3.111E-12 -4.079E-12  1.00E-07
  8.000E+01 6.27773E-18  4.109E-03 -2.013E-09  1.492E-09 -3.123E-12 -4.093E-12  1.00E-07
  8.050E+01 5.95646E-18  4.232E-03 -1.981E-09  1.425E-09 -3.134E-12 -4.108E-12  1.00E-07
  8.100E+01 5.64270E-18  4.361E-03 -1.948E-09  1.360E-09 -3.144E-12 -4.122E-12  1.00E-07
  8.150E+01 5.33654E-18  4.496E-03 -1.913E-09  1.295E-09 -3.155E-12 -4.135E-12  1.00E-07
  8.200E+01 5.03812E-18  4.638E-03 -1.878E-09  1.230E-09 -3.165E-12 -4.149E-12  1.00E-07
  8.250E+01 4.74753E-18  4.787E-03 -1.841E-09  1.166E-09 -3.174E-12 -4.162E-12  1.00E-07
  8.300E+01 4.46490E-18  4.943E-03 -1.802E-09  1.103E-09 -3.184E-12 -4.175E-12  1.00E-07
  8.350E+01 4.19034E-18  5.109E-03 -1.763E-09  1.040E-09 -3.193E-12 -4.187E-12  1.00E-07
  8.400E+01 3.92398E-18  5.283E-03 -1.723E-09  9.777E-10 -3.202E-12 -4.200E-12  1.00E-07
  8.450E+01 3.66594E-18  5.468E-03 -1.681E-09  9.161E-10 -3.211E-12 -4.211E-12  1.00E-07
  8.500E+01 3.41635E-18  5.663E-03 -1.639E-09  8.551E-10 -3.219E-12 -4.223E-12  1.00E-07
  8.550E+01 3.17533E-18  5.869E-03 -1.595E-09  7.947E-10 -3.227E-12 -4.234E-12  1.00E-07
  8.600E+01 2.94301E-18  6.088E-03 -1.550E-09  7.348E-10 -3.235E-12 -4.245E-12  1.00E-07
  8.650E+01 2.71952E-18  6.320E-03 -1.504E-09  6.756E-10 -3.243E-12 -4.256E-12  1.00E-07
  8.700E+01 2.50498E-18  6.565E-03 -1.457E-09  6.170E-10 -3.250E-12 -4.266E-12  1.00E-07
  8.750E+01 2.29954E-18  6.826E-03 -1.410E-09  5.590E-10 -3.257E-12 -4.276E-12  1.00E-07
  8.800E+01 2.10331E-18  7.102E-03 -1.361E-09  5.016E-10 -3.263E-12 -4.286E-12  1.00E-07
  8.850E+01 1.91643E-18  7.394E-03 -1.311E-09  4.448E-10 -3.270E-12 -4.295E-12  1.00E-07
  8.900E+01 1.73903E-18  7.702E-03 -1.260E-09  3.886E-10 -3.276E-12 -4.304E-12  1.00E-07
  8.950E+01 1.57124E-18  8.025E-03 -1.208E-09  3.331E-10 -3.282E-12 -4.313E-12  1.00E-07
  9.000E+01 1.41318E-18  8.362E-03 -1.156E-09  2.782E-10 -3.287E-12 -4.321E-12  1.00E-07
  9.050E+01 1.26498E-18  8.709E-03 -1.102E-09  2.239E-10 -3.292E-12 -4.329E-12  1.00E-07
  9.100E+01 1.12677E-18  9.061E-03 -1.048E-09  1.702E-10 -3.297E-12 -4.337E-12  1.00E-07
  9.150E+01 9.98673E-19  9.408E-03 -9.924E-10  1.171E-10 -3.302E-12 -4.344E-12  1.00E-07
  9.200E+01 8.80809E-19  9.735E-03 -9.363E-10  6.470E-11 -3.306E-12 -4.351E-12  1.00E-07
  9.250E+01 7.73300E-19  1.002E-02 -8.793E-10  1.291E-11 -3.310E-12 -4.357E-12  1.00E-07
  9.300E+01 6.76266E-19  1.023E-02 -8.214E-10 -3.825E-11 -3.313E-12 -4.364E-12  1.00E-07
  9.350E+01 5.89822E-19  1.030E-02 -7.628E-10 -8.878E-11 -3.317E-12 -4.369E-12  1.00E-07
  9.400E+01 5.14083E-19  1.018E-02 -7.034E-10 -1.387E-10 -3.320E-12 -4.375E-12  1.00E-07
  9.450E+01 4.49160E-19  9.766E-03 -6.433E-10 -1.879E-10 -3.322E-12 -4.380E-12  1.00E-07
  9.500E+01 3.95161E-19  8.944E-03 -5.824E-10 -2.366E-10 -3.325E-12 -4.385E-12  1.00E-07
  9.550E+01 3.52193E-19  7.604E-03 -5.208E-10 -2.846E-10 -3.327E-12 -4.389E-12  1.00E-07
  9.600E+01 3.20357E-19  5.675E-03 -4.584E-10 -3.319E-10 -3.329E-12 -4.393E-12  1.00E-07
  9.650E+01 2.99753E-19  3.186E-03 -3.954E-10 -3.787E-10 -3.330E-12 -4.397E-12  1.00E-07
  9.700E+01 2.90477E-19  3.062E-04 -3.317E-10 -4.248E-10 -3.331E-12 -4.400E-12  1.00E-07
  9.750E+01 2.92619E-19 -2.664E-03 -2.673E-10 -4.702E-10 -3.332E-12 -4.403E-12  1.00E-07
  9.800E+01 3.06270E-19 -5.388E-03 -2.023E-10 -5.151E-10 -3.333E-12 -4.406E-12  1.00E-07
  9.850E+01 3.31512E-19 -7.610E-03 -1.367E-10 -5.593E-10 -3.333E-12 -4.408E-12  1.00E-07
  9.900E+01 3.68426E-19 -9.219E-03 -7.051E-11 -6.028E-10 -3.333E-12 -4.410E-12  1.00E-07
  9.950E+01 4.17089E-19 -1.024E-02 -3.713E-12 -6.458E-10 -3.333E-12 -4.411E-12  1.00E-07
  1.000E+02 4.77571E-19 -1.078E-02  6.366E-11 -6.881E-10 -3.332E-12 -4.412E-12  1.00E-07
  1.005E+02 5.49941E-19 -1.095E-02  1.316E-10 -7.298E-10 -3.331E-12 -4.413E-12  1.00E-07
  1.010E+02 6.34261E-19 -1.088E-02  2.000E-10 -7.709E-10 -3.330E-12 -4.413E-12  1.00E-07
  1.015E+02 7.30589E-19 -1.064E-02  2.690E-10 -8.113E-10 -3.328E-12 -4.413E-12  1.00E-07
  1.020E+02 8.38979E-19 -1.031E-02  3.385E-10 -8.511E-10 -3.326E-12 -4.412E-12  1.00E-07
  1.025E+02 9.59479E-19 -9.924E-03  4.084E-10 -8.903E-10 -3.324E-12 -4.411E-12  1.00E-07
  1.030E+02 1.09213E-18 -9.517E-03  4.788E-10 -9.289E-10 -3.321E-12 -4.410E-12  1.00E-07
  1.035E+02 1.23698E-18 -9.105E-03  5.497E-10 -9.669E-10 -3.318E-12 -4.408E-12  1.00E-07
  1.040E+02 1.39405E-18 -8.702E-03  6.210E-10 -1.004E-09 -3.315E-12 -4.406E-12  1.00E-07
  1.045E+02 1.56337E-18 -8.312E-03  6.927E-10 -1.041E-09 -3.312E-12 -4.404E-12  1.00E-07
  1.050E+02 1.74498E-18 -7.941E-03  7.648E-10 -1.077E-09 -3.308E-12 -4.401E-12  1.00E-07
  1.055E+02 1.93887E-18 -7.590E-03  8.373E-10 -1.113E-09 -3.304E-12 -4.398E-12  1.00E-07
  1.060E+02 2.14507E-18 -7.258E-03  9.101E-10 -1.148E-09 -3.299E-12 -4.394E-12  1.00E-07
  1.065E+02 2.36359E-18 -6.947E-03  9.833E-10 -1.182E-09 -3.295E-12 -4.390E-12  1.00E-07
  1.070E+02 2.59442E-18 -6.655E-03  1.057E-09 -1.216E-09 -3.289E-12 -4.386E-12  1.00E-07
  1.075E+02 2.83755E-18 -6.381E-03  1.131E-09 -1.249E-09 -3.284E-12 -4.381E-12  1.00E-07
  1.080E+02 3.09299E-18 -6.125E-03  1.205E-09 -1.281E-09 -3.278E-12 -4.375E-12  1.00E-07
  1.085E+02 3.36071E-18 -5.884E-03  1.279E-09 -1.313E-09 -3.273E-12 -4.370E-12  1.00E-07
  1.090E+02 3.64069E-18 -5.658E-03  1.354E-09 -1.345E-09 -3.266E-12 -4.364E-12  1.00E-07
  1.095E+02 3.93291E-18 -5.446E-03  1.429E-09 -1.375E-09 -3.260E-12 -4.357E-12  1.00E-07
  1.100E+02 4.23733E-18 -5.246E-03  1.504E-09 -1.405E-09 -3.253E-12 -4.350E-12  1.00E-07
  1.105E+02 4.55391E-18 -5.058E-03  1.579E-09 -1.435E-09 -3.246E-12 -4.343E-12  1.00E-07
  1.110E+02 4.88260E-18 -4.881E-03  1.655E-09 -1.464E-09 -3.238E-12 -4.335E-12  1.00E-07
  1.115E+02 5.22337E-18 -4.714E-03  1.731E-09 -1.493E-09 -3.230E-12 -4.327E-12  1.00E-07
  1.120E+02 5.57615E-18 -4.556E-03  1.807E-09 -1.521E-09 -3.222E-12 -4.319E-12  1.00E-07
  1.125E+02 5.94087E-18 -4.406E-03  1.883E-09 -1.548E-09 -3.214E-12 -4.310E-12  1.00E-07
  1.130E+02 6.31748E-18 -4.265E-03  1.959E-09 -1.575E-09 -3.205E-12 -4.300E-12  1.00E-07
  1.135E+02 6.70589E-18 -4.131E-03  2.035E-09 -1.601E-09 -3.196E-12 -4.291E-12  1.00E-07
  1.140E+02 7.10602E-18 -4.003E-03  2.112E-09 -1.627E-09 -3.187E-12 -4.281E-12  1.00E-07
  1.145E+02 7.51780E-18 -3.882E-03  2.188E-09 -1.652E-09 -3.177E-12 -4.270E-12  1.00E-07
  1.150E+02 7.94113E-18 -3.767E-03  2.265E-09 -1.677E-09 -3.167E-12 -4.259E-12  1.00E-07
  1.155E+02 8.37591E-18 -3.657E-03  2.342E-09 -1.701E-09 -3.157E-12 -4.248E-12  1.00E-07
  1.160E+02 8.82204E-18 -3.552E-03  2.418E-09 -1.724E-09 -3.147E-12 -4.236E-12  1.00E-07
  1.165E+02 9.27940E-18 -3.453E-03  2.495E-09 -1.747E-09 -3.136E-12 -4.224E-12  1.00E-07
  1.170E+02 9.74790E-18 -3.357E-03  2.572E-09 -1.770E-09 -3.125E-12 -4.211E-12  1.00E-07
  1.175E+02 1.02274E-17 -3.266E-03  2.649E-09 -1.792E-09 -3.113E-12 -4.198E-12  1.00E-07
  1.180E+02 1.07178E-17 -3.178E-03  2.726E-09 -1.814E-09 -3.102E-12 -4.185E-12  1.00E-07
  1.185E+02 1.12189E-17 -3.094E-03  2.802E-09 -1.835E-09 -3.090E-12 -4.171E-12  1.00E-07
  1.190E+02 1.17306E-17 -3.014E-03  2.879E-09 -1.855E-09 -3.078E-12 -4.157E-12  1.00E-07
  1.195E+02 1.22528E-17 -2.937E-03  2.956E-09 -1.875E-09 -3.065E-12 -4.142E-12  1.00E-07
  1.200E+02 1.27853E-17 -2.862E-03  3.032E-09 -1.895E-09 -3.052E-12 -4.127E-12  1.00E-07
  1.205E+02 1.33280E-17 -2.791E-03  3.109E-09 -1.914E-09 -3.039E-12 -4.112E-12  1.00E-07
  1.210E+02 1.38807E-17 -2.722E-03  3.185E-09 -1.933E-09 -3.026E-12 -4.096E-12  1.00E-07
  1.215E+02 1.44432E-17 -2.656E-03  3.262E-09 -1.951E-09 -3.012E-12 -4.079E-12  1.00E-07
  1.220E+02 1.50155E-17 -2.592E-03  3.338E-09 -1.968E-09 -2.998E-12 -4.063E-12  1.00E-07
  1.225E+02 1.55971E-17 -2.531E-03  3.414E-09 -1.986E-09 -2.984E-12 -4.046E-12  1.00E-07
  1.230E+02 1.61882E-17 -2.471E-03  3.490E-09 -2.002E-09 -2.969E-12 -4.028E-12  1.00E-07
  1.235E+02 1.67883E-17 -2.414E-03  3.566E-09 -2.019E-09 -2.954E-12 -4.010E-12  1.00E-07
  1.240E+02 1.73974E-17 -2.359E-03  3.641E-09 -2.035E-09 -2.939E-12 -3.992E-12  1.00E-07
  1.245E+02 1.80152E-17 -2.305E-03  3.717E-09 -2.050E-09 -2.924E-12 -3.974E-12  1.00E-07
  1.250E+02 1.86416E-17 -2.253E-03  3.792E-09 -2.065E-09 -2.908E-12 -3.954E-12  1.00E-07
  1.255E+02 1.92763E-17 -2.203E-03  3.867E-09 -2.080E-09 -2.893E-12 -3.935E-12  1.00E-07
  1.260E+02 1.99192E-17 -2.154E-03  3.941E-09 -2.094E-09 -2.876E-12 -3.915E-12  1.00E-07
  1.265E+02 2.05700E-17 -2.107E-03  4.016E-09 -2.108E-09 -2.860E-12 -3.895E-12  1.00E-07
  1.270E+02 2.12285E-17 -2.061E-03  4.090E-09 -2.121E-09 -2.843E-12 -3.874E-12  1.00E-07
  1.275E+02 2.18944E-17 -2.017E-03  4.164E-09 -2.134E-09 -2.826E-12 -3.853E-12  1.00E-07
  1.280E+02 2.25676E-17 -1.974E-03  4.238E-09 -2.147E-09 -2.809E-12 -3.832E-12  1.00E-07
  1.285E+02 2.32479E-17 -1.932E-03  4.311E-09 -2.159E-09 -2.792E-12 -3.810E-12  1.00E-07
  1.290E+02 2.39349E-17 -1.891E-03  4.384E-09 -2.171E-09 -2.774E-12 -3.788E-12  1.00E-07
  1.295E+02 2.46285E-17 -1.851E-03  4.457E-09 -2.182E-09 -2.756E-12 -3.765E-12  1.00E-07
  1.300E+02 2.53283E-17 -1.813E-03  4.530E-09 -2.193E-09 -2.738E-12 -3.742E-12  1.00E-07
  1.305E+02 2.60343E-17 -1.775E-03  4.602E-09 -2.204E-09 -2.719E-12 -3.719E-12  1.00E-07
  1.310E+02 2.67460E-17 -1.738E-03  4.674E-09 -2.214E-09 -2.700E-12 -3.695E-12  1.00E-07
  1.315E+02 2.74633E-17 -1.703E-03  4.745E-09 -2.224E-09 -2.681E-12 -3.671E-12  1.00E-07
  1.320E+02 2.81859E-17 -1.668E-03  4.816E-09 -2.234E-09 -2.662E-12 -3.647E-12  1.00E-07
  1.325E+02 2.89135E-17 -1.634E-03  4.887E-09 -2.243E-09 -2.642E-12 -3.622E-12  1.00E-07
  1.330E+02 2.96459E-17 -1.601E-03  4.957E-09 -2.252E-09 -2.623E-12 -3.596E-12  1.00E-07
  1.335E+02 3.03828E-17 -1.569E-03  5.027E-09 -2.261E-09 -2.603E-12 -3.571E-12  1.00E-07
  1.340E+02 3.11240E-17 -1.537E-03  5.097E-09 -2.269E-09 -2.582E-12 -3.545E-12  1.00E-07
  1.345E+02 3.18691E-17 -1.507E-03  5.166E-09 -2.277E-09 -2.562E-12 -3.519E-12  1.00E-07
  1.350E+02 3.26179E-17 -1.477E-03  5.234E-09 -2.285E-09 -2.541E-12 -3.492E-12  1.00E-07
  1.355E+02 3.33701E-17 -1.447E-03  5.303E-09 -2.292E-09 -2.520E-12 -3.465E-12  1.00E-07
  1.360E+02 3.41254E-17 -1.419E-03  5.370E-09 -2.299E-09 -2.499E-12 -3.437E-12  1.00E-07
  1.365E+02 3.48836E-17 -1.390E-03  5.437E-09 -2.306E-09 -2.478E-12 -3.409E-12  1.00E-07
  1.370E+02 3.56444E-17 -1.363E-03  5.504E-09 -2.312E-09 -2.456E-12 -3.381E-12  1.00E-07
  1.375E+02 3.64074E-17 -1.336E-03  5.571E-09 -2.319E-09 -2.434E-12 -3.353E-12  1.00E-07
  1.380E+02 3.71725E-17 -1.310E-03  5.636E-09 -2.325E-09 -2.412E-12 -3.324E-12  1.00E-07
  1.385E+02 3.79392E-17 -1.284E-03  5.702E-09 -2.330E-09 -2.390E-12 -3.295E-12  1.00E-07
  1.390E+02 3.87073E-17 -1.259E-03  5.766E-09 -2.336E-09 -2.367E-12 -3.265E-12  1.00E-07
  1.395E+02 3.94766E-17 -1.234E-03  5.831E-09 -2.341E-09 -2.344E-12 -3.235E-12  1.00E-07
  1.400E+02 4.02467E-17 -1.209E-03  5.894E-09 -2.346E-09 -2.321E-12 -3.205E-12  1.00E-07
  1.405E+02 4.10173E-17 -1.186E-03  5.957E-09 -2.351E-09 -2.298E-12 -3.175E-12  1.00E-07
  1.410E+02 4.17881E-17 -1.162E-03  6.020E-09 -2.355E-09 -2.275E-12 -3.144E-12  1.00E-07
  1.415E+02 4.25589E-17 -1.139E-03  6.082E-09 -2.359E-09 -2.251E-12 -3.112E-12  1.00E-07
  1.420E+02 4.33293E-17 -1.117E-03  6.144E-09 -2.364E-09 -2.227E-12 -3.081E-12  1.00E-07
  1.425E+02 4.40990E-17 -1.094E-03  6.204E-09 -2.367E-09 -2.203E-12 -3.049E-12  1.00E-07
  1.430E+02 4.48678E-17 -1.073E-03  6.265E-09 -2.371E-09 -2.179E-12 -3.017E-12  1.00E-07
  1.435E+02 4.56353E-17 -1.051E-03  6.324E-09 -2.374E-09 -2.154E-12 -2.984E-12  1.00E-07
  1.440E+02 4.64012E-17 -1.030E-03  6.383E-09 -2.377E-09 -2.130E-12 -2.951E-12  1.00E-07
  1.445E+02 4.71652E-17 -1.010E-03  6.442E-09 -2.380E-09 -2.105E-12 -2.918E-12  1.00E-07
  1.450E+02 4.79271E-17 -9.893E-04  6.500E-09 -2.383E-09 -2.080E-12 -2.885E-12  1.00E-07
  1.455E+02 4.86866E-17 -9.693E-04  6.557E-09 -2.386E-09 -2.055E-12 -2.851E-12  1.00E-07
  1.460E+02 4.94432E-17 -9.496E-04  6.614E-09 -2.388E-09 -2.029E-12 -2.817E-12  1.00E-07
  1.465E+02 5.01968E-17 -9.302E-04  6.669E-09 -2.391E-09 -2.004E-12 -2.782E-12  1.00E-07
  1.470E+02 5.09470E-17 -9.111E-04  6.725E-09 -2.393E-09 -1.978E-12 -2.748E-12  1.00E-07
  1.475E+02 5.16936E-17 -8.923E-04  6.779E-09 -2.395E-09 -1.952E-12 -2.713E-12  1.00E-07
  1.480E+02 5.24361E-17 -8.738E-04  6.833E-09 -2.396E-09 -1.926E-12 -2.677E-12  1.00E-07
  1.485E+02 5.31745E-17 -8.556E-04  6.886E-09 -2.398E-09 -1.899E-12 -2.642E-12  1.00E-07
  1.490E+02 5.39082E-17 -8.376E-04  6.939E-09 -2.400E-09 -1.873E-12 -2.606E-12  1.00E-07
  1.495E+02 5.46372E-17 -8.199E-04  6.991E-09 -2.401E-09 -1.846E-12 -2.570E-12  1.00E-07
  1.500E+02 5.53609E-17 -8.024E-04  7.042E-09 -2.402E-09 -1.819E-12 -2.533E-12  1.00E-07
  1.505E+02 5.60793E-17 -7.851E-04  7.092E-09 -2.403E-09 -1.792E-12 -2.497E-12  1.00E-07
  1.510E+02 5.67919E-17 -7.681E-04  7.142E-09 -2.404E-09 -1.765E-12 -2.460E-12  1.00E-07
  1.515E+02 5.74985E-17 -7.513E-04  7.191E-09 -2.405E-09 -1.738E-12 -2.422E-12  1.00E-07
  1.520E+02 5.81989E-17 -7.348E-04  7.240E-09 -2.406E-09 -1.710E-12 -2.385E-12  1.00E-07
  1.525E+02 5.88926E-17 -7.184E-04  7.287E-09 -2.406E-09 -1.683E-12 -2.347E-12  1.00E-07
  1.530E+02 5.95795E-17 -7.022E-04  7.334E-09 -2.407E-09 -1.655E-12 -2.309E-12  1.00E-07
  1.535E+02 6.02593E-17 -6.863E-04  7.380E-09 -2.407E-09 -1.627E-12 -2.271E-12  1.00E-07
  1.540E+02 6.09316E-17 -6.705E-04  7.425E-09 -2.408E-09 -1.599E-12 -2.233E-12  1.00E-07
  1.545E+02 6.15963E-17 -6.549E-04  7.470E-09 -2.408E-09 -1.571E-12 -2.194E-12  1.00E-07
  1.550E+02 6.22530E-17 -6.395E-04  7.514E-09 -2.408E-09 -1.542E-12 -2.155E-12  1.00E-07
  1.555E+02 6.29015E-17 -6.242E-04  7.557E-09 -2.408E-09 -1.514E-12 -2.116E-12  1.00E-07
  1.560E+02 6.35415E-17 -6.091E-04  7.599E-09 -2.408E-09 -1.485E-12 -2.076E-12  1.00E-07
  1.565E+02 6.41727E-17 -5.942E-04  7.640E-09 -2.408E-09 -1.456E-12 -2.037E-12  1.00E-07
  1.570E+02 6.47950E-17 -5.795E-04  7.681E-09 -2.408E-09 -1.427E-12 -1.997E-12  1.00E-07
  1.575E+02 6.54080E-17 -5.648E-04  7.721E-09 -2.408E-09 -1.398E-12 -1.957E-12  1.00E-07
  1.580E+02 6.60114E-17 -5.504E-04  7.760E-09 -2.408E-09 -1.369E-12 -1.916E-12  1.00E-07
  1.585E+02 6.66051E-17 -5.360E-04  7.798E-09 -2.407E-09 -1.340E-12 -1.876E-12  1.00E-07
  1.590E+02 6.71888E-17 -5.219E-04  7.836E-09 -2.407E-09 -1.310E-12 -1.835E-12  1.00E-07
  1.595E+02 6.77623E-17 -5.078E-04  7.872E-09 -2.406E-09 -1.281E-12 -1.794E-12  1.00E-07
  1.600E+02 6.83253E-17 -4.939E-04  7.908E-09 -2.406E-09 -1.251E-12 -1.753E-12  1.00E-07
  1.605E+02 6.88775E-17 -4.801E-04  7.943E-09 -2.405E-09 -1.221E-12 -1.712E-12  1.00E-07
  1.610E+02 6.94189E-17 -4.664E-04  7.977E-09 -2.405E-09 -1.191E-12 -1.670E-12  1.00E-07
  1.615E+02 6.99490E-17 -4.528E-04  8.011E-09 -2.404E-09 -1.161E-12 -1.628E-12  1.00E-07
  1.620E+02 7.04678E-17 -4.393E-04  8.043E-09 -2.404E-09 -1.131E-12 -1.587E-12  1.00E-07
  1.625E+02 7.09750E-17 -4.260E-04  8.075E-09 -2.403E-09 -1.101E-12 -1.544E-12  1.00E-07
  1.630E+02 7.14704E-17 -4.127E-04  8.105E-09 -2.402E-09 -1.071E-12 -1.502E-12  1.00E-07
  1.635E+02 7.19538E-17 -3.996E-04  8.135E-09 -2.402E-09 -1.040E-12 -1.460E-12  1.00E-07
  1.640E+02 7.24249E-17 -3.865E-04  8.165E-09 -2.401E-09 -1.010E-12 -1.417E-12  1.00E-07
  1.645E+02 7.28837E-17 -3.735E-04  8.193E-09 -2.400E-09 -9.790E-13 -1.375E-12  1.00E-07
  1.650E+02 7.33299E-17 -3.607E-04  8.220E-09 -2.400E-09 -9.483E-13 -1.332E-12  1.00E-07
  1.655E+02 7.37632E-17 -3.479E-04  8.247E-09 -2.399E-09 -9.175E-13 -1.289E-12  1.00E-07
  1.660E+02 7.41837E-17 -3.352E-04  8.272E-09 -2.398E-09 -8.867E-13 -1.246E-12  1.00E-07
  1.665E+02 7.45909E-17 -3.225E-04  8.297E-09 -2.398E-09 -8.557E-13 -1.202E-12  1.00E-07
  1.670E+02 7.49849E-17 -3.100E-04  8.321E-09 -2.397E-09 -8.247E-13 -1.159E-12  1.00E-07
  1.675E+02 7.53654E-17 -2.975E-04  8.344E-09 -2.396E-09 -7.936E-13 -1.116E-12  1.00E-07
  1.680E+02 7.57323E-17 -2.851E-04  8.366E-09 -2.396E-09 -7.624E-13 -1.072E-12  1.00E-07
  1.685E+02 7.60854E-17 -2.727E-04  8.387E-09 -2.395E-09 -7.312E-13 -1.028E-12  1.00E-07
  1.690E+02 7.64246E-17 -2.604E-04  8.408E-09 -2.394E-09 -6.999E-13 -9.842E-13  1.00E-07
  1.695E+02 7.67497E-17 -2.482E-04  8.427E-09 -2.394E-09 -6.685E-13 -9.402E-13  1.00E-07
  1.700E+02 7.70606E-17 -2.360E-04  8.446E-09 -2.393E-09 -6.370E-13 -8.961E-13  1.00E-07
  1.705E+02 7.73572E-17 -2.239E-04  8.464E-09 -2.392E-09 -6.055E-13 -8.519E-13  1.00E-07
  1.710E+02 7.76393E-17 -2.118E-04  8.481E-09 -2.392E-09 -5.740E-13 -8.076E-13  1.00E-07
  1.715E+02 7.79069E-17 -1.998E-04  8.496E-09 -2.391E-09 -5.424E-13 -7.633E-13  1.00E-07
  1.720E+02 7.81598E-17 -1.878E-04  8.511E-09 -2.391E-09 -5.107E-13 -7.188E-13  1.00E-07
  1.725E+02 7.83978E-17 -1.759E-04  8.526E-09 -2.390E-09 -4.790E-13 -6.743E-13  1.00E-07
  1.730E+02 7.86210E-17 -1.640E-04  8.539E-09 -2.389E-09 -4.473E-13 -6.297E-13  1.00E-07
  1.735E+02 7.88292E-17 -1.521E-04  8.551E-09 -2.389E-09 -4.155E-13 -5.850E-13  1.00E-07
  1.740E+02 7.90223E-17 -1.403E-04  8.563E-09 -2.389E-09 -3.837E-13 -5.402E-13  1.00E-07
  1.745E+02 7.92003E-17 -1.285E-04  8.573E-09 -2.388E-09 -3.519E-13 -4.954E-13  1.00E-07
  1.750E+02 7.93631E-17 -1.167E-04  8.583E-09 -2.388E-09 -3.200E-13 -4.506E-13  1.00E-07
  1.755E+02 7.95105E-17 -1.050E-04  8.591E-09 -2.387E-09 -2.881E-13 -4.056E-13  1.00E-07
  1.760E+02 7.96426E-17 -9.324E-05  8.599E-09 -2.387E-09 -2.561E-13 -3.607E-13  1.00E-07
  1.765E+02 7.97593E-17 -8.154E-05  8.606E-09 -2.387E-09 -2.242E-13 -3.157E-13  1.00E-07
  1.770E+02 7.98605E-17 -6.986E-05  8.612E-09 -2.387E-09 -1.922E-13 -2.707E-13  1.00E-07
  1.775E+02 7.99463E-17 -5.819E-05  8.617E-09 -2.386E-09 -1.602E-13 -2.256E-13  1.00E-07
  1.780E+02 8.00164E-17 -4.654E-05  8.621E-09 -2.386E-09 -1.282E-13 -1.805E-13  1.00E-07
  1.785E+02 8.00711E-17 -3.489E-05  8.624E-09 -2.386E-09 -9.612E-14 -1.354E-13  1.00E-07
  1.790E+02 8.01101E-17 -2.326E-05  8.627E-09 -2.386E-09 -6.409E-14 -9.027E-14  1.00E-07
  1.795E+02 8.01335E-17 -1.163E-05  8.628E-09 -2.386E-09 -3.205E-14 -4.514E-14  1.00E-07
  1.800E+02 8.01413E-17 -1.632E-19  8.628E-09 -2.386E-09 -4.497E-28 -6.334E-28  1.00E-07

  TOTAL ELASTIC CROSS SECTION = 3.935691E-16 cm**2
               FROM DCS TABLE = 3.935586E-16  (REL. DIF. = 2.68E-05)

  1ST TRANSPORT CROSS SECTION = 3.082490E-16 cm**2
               FROM DCS TABLE = 3.082427E-16  (REL. DIF. = 2.04E-05)

  2ND TRANSPORT CROSS SECTION = 2.153926E-16 cm**2

  **** DPWA0 ENDED ************************************************************

