

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      8.89042173E-01      0.00000000E+00
       1     -1.10694870E+00     -1.10500385E+00
       2      4.66327493E-01      4.66468521E-01
       3      1.12597899E-01      1.12618352E-01
       4      3.16614271E-02      3.16663782E-02
       5      9.48647247E-03      9.48786733E-03
       6      2.93913410E-03      2.93955152E-03
       7      9.30074631E-04      9.30203671E-04
       8      2.98648684E-04      2.98689428E-04
       9      9.69055839E-05      9.69186421E-05
      10      3.16838860E-05      3.16881168E-05
      11      1.04169335E-05      1.04183153E-05
      12      3.43882316E-06      3.43927706E-06
      13      1.13862714E-06      1.13877688E-06
      14      3.77846734E-07      3.77896288E-07
      15      1.25592859E-07      1.25609298E-07
      16      4.17973494E-08      4.18028093E-08
      17      1.39230482E-08      1.39248585E-08
      18      4.64110339E-09      4.64170925E-09
      19      1.54784781E-09      1.54805100E-09
      20      5.16424820E-10      5.16492094E-10
      21      1.72359300E-10      1.72383017E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  5.000E-03 1.77382E-16 -7.290E-10  6.975E-09  1.135E-08 -1.702E-16 -2.861E-16  1.00E-07
  5.250E-03 1.77382E-16 -7.655E-10  6.975E-09  1.135E-08 -1.787E-16 -3.004E-16  1.00E-07
  5.500E-03 1.77382E-16 -8.020E-10  6.975E-09  1.135E-08 -1.872E-16 -3.147E-16  1.00E-07
  5.750E-03 1.77382E-16 -8.384E-10  6.975E-09  1.135E-08 -1.957E-16 -3.290E-16  1.00E-07
  6.000E-03 1.77382E-16 -8.749E-10  6.975E-09  1.135E-08 -2.042E-16 -3.433E-16  1.00E-07
  6.250E-03 1.77382E-16 -9.113E-10  6.975E-09  1.135E-08 -2.127E-16 -3.576E-16  1.00E-07
  6.500E-03 1.77382E-16 -9.478E-10  6.975E-09  1.135E-08 -2.212E-16 -3.720E-16  1.00E-07
  6.750E-03 1.77382E-16 -9.842E-10  6.975E-09  1.135E-08 -2.298E-16 -3.863E-16  1.00E-07
  7.000E-03 1.77382E-16 -1.021E-09  6.975E-09  1.135E-08 -2.383E-16 -4.006E-16  1.00E-07
  7.250E-03 1.77382E-16 -1.057E-09  6.975E-09  1.135E-08 -2.468E-16 -4.149E-16  1.00E-07
  7.500E-03 1.77382E-16 -1.094E-09  6.975E-09  1.135E-08 -2.553E-16 -4.292E-16  1.00E-07
  7.750E-03 1.77382E-16 -1.130E-09  6.975E-09  1.135E-08 -2.638E-16 -4.435E-16  1.00E-07
  8.000E-03 1.77382E-16 -1.166E-09  6.975E-09  1.135E-08 -2.723E-16 -4.578E-16  1.00E-07
  8.250E-03 1.77382E-16 -1.203E-09  6.975E-09  1.135E-08 -2.808E-16 -4.721E-16  1.00E-07
  8.500E-03 1.77382E-16 -1.239E-09  6.975E-09  1.135E-08 -2.893E-16 -4.864E-16  1.00E-07
  8.750E-03 1.77382E-16 -1.276E-09  6.975E-09  1.135E-08 -2.978E-16 -5.007E-16  1.00E-07
  9.000E-03 1.77382E-16 -1.312E-09  6.975E-09  1.135E-08 -3.063E-16 -5.150E-16  1.00E-07
  9.250E-03 1.77382E-16 -1.349E-09  6.975E-09  1.135E-08 -3.148E-16 -5.293E-16  1.00E-07
  9.500E-03 1.77382E-16 -1.385E-09  6.975E-09  1.135E-08 -3.234E-16 -5.436E-16  1.00E-07
  9.750E-03 1.77382E-16 -1.422E-09  6.975E-09  1.135E-08 -3.319E-16 -5.579E-16  1.00E-07
  1.000E-02 1.77382E-16 -1.458E-09  6.975E-09  1.135E-08 -3.404E-16 -5.722E-16  1.00E-07
  1.250E-02 1.77382E-16 -1.823E-09  6.975E-09  1.135E-08 -4.255E-16 -7.153E-16  1.00E-07
  1.500E-02 1.77382E-16 -2.187E-09  6.975E-09  1.135E-08 -5.106E-16 -8.583E-16  1.00E-07
  1.750E-02 1.77382E-16 -2.552E-09  6.975E-09  1.135E-08 -5.957E-16 -1.001E-15  1.00E-07
  2.000E-02 1.77382E-16 -2.916E-09  6.975E-09  1.135E-08 -6.808E-16 -1.144E-15  1.00E-07
  2.250E-02 1.77382E-16 -3.281E-09  6.975E-09  1.135E-08 -7.658E-16 -1.288E-15  1.00E-07
  2.500E-02 1.77382E-16 -3.645E-09  6.975E-09  1.135E-08 -8.509E-16 -1.431E-15  1.00E-07
  2.750E-02 1.77382E-16 -4.010E-09  6.975E-09  1.135E-08 -9.360E-16 -1.574E-15  1.00E-07
  3.000E-02 1.77382E-16 -4.374E-09  6.975E-09  1.135E-08 -1.021E-15 -1.717E-15  1.00E-07
  3.250E-02 1.77382E-16 -4.739E-09  6.975E-09  1.135E-08 -1.106E-15 -1.860E-15  1.00E-07
  3.500E-02 1.77382E-16 -5.103E-09  6.975E-09  1.135E-08 -1.191E-15 -2.003E-15  1.00E-07
  3.750E-02 1.77382E-16 -5.468E-09  6.975E-09  1.135E-08 -1.276E-15 -2.146E-15  1.00E-07
  4.000E-02 1.77382E-16 -5.832E-09  6.975E-09  1.135E-08 -1.362E-15 -2.289E-15  1.00E-07
  4.250E-02 1.77382E-16 -6.197E-09  6.975E-09  1.135E-08 -1.447E-15 -2.432E-15  1.00E-07
  4.500E-02 1.77382E-16 -6.561E-09  6.975E-09  1.135E-08 -1.532E-15 -2.575E-15  1.00E-07
  4.750E-02 1.77382E-16 -6.926E-09  6.975E-09  1.135E-08 -1.617E-15 -2.718E-15  1.00E-07
  5.000E-02 1.77382E-16 -7.290E-09  6.975E-09  1.135E-08 -1.702E-15 -2.861E-15  1.00E-07
  5.250E-02 1.77382E-16 -7.654E-09  6.975E-09  1.135E-08 -1.787E-15 -3.004E-15  1.00E-07
  5.500E-02 1.77382E-16 -8.019E-09  6.975E-09  1.135E-08 -1.872E-15 -3.147E-15  1.00E-07
  5.750E-02 1.77382E-16 -8.383E-09  6.975E-09  1.135E-08 -1.957E-15 -3.290E-15  1.00E-07
  6.000E-02 1.77382E-16 -8.748E-09  6.975E-09  1.135E-08 -2.042E-15 -3.433E-15  1.00E-07
  6.250E-02 1.77382E-16 -9.112E-09  6.975E-09  1.135E-08 -2.127E-15 -3.576E-15  1.00E-07
  6.500E-02 1.77382E-16 -9.477E-09  6.975E-09  1.135E-08 -2.212E-15 -3.720E-15  1.00E-07
  6.750E-02 1.77382E-16 -9.841E-09  6.975E-09  1.135E-08 -2.298E-15 -3.863E-15  1.00E-07
  7.000E-02 1.77382E-16 -1.021E-08  6.975E-09  1.135E-08 -2.383E-15 -4.006E-15  1.00E-07
  7.250E-02 1.77382E-16 -1.057E-08  6.975E-09  1.135E-08 -2.468E-15 -4.149E-15  1.00E-07
  7.500E-02 1.77382E-16 -1.093E-08  6.975E-09  1.135E-08 -2.553E-15 -4.292E-15  1.00E-07
  7.750E-02 1.77382E-16 -1.130E-08  6.975E-09  1.135E-08 -2.638E-15 -4.435E-15  1.00E-07
  8.000E-02 1.77381E-16 -1.166E-08  6.975E-09  1.135E-08 -2.723E-15 -4.578E-15  1.00E-07
  8.250E-02 1.77381E-16 -1.203E-08  6.975E-09  1.135E-08 -2.808E-15 -4.721E-15  1.00E-07
  8.500E-02 1.77381E-16 -1.239E-08  6.975E-09  1.135E-08 -2.893E-15 -4.864E-15  1.00E-07
  8.750E-02 1.77381E-16 -1.276E-08  6.975E-09  1.135E-08 -2.978E-15 -5.007E-15  1.00E-07
  9.000E-02 1.77381E-16 -1.312E-08  6.975E-09  1.135E-08 -3.063E-15 -5.150E-15  1.00E-07
  9.250E-02 1.77381E-16 -1.348E-08  6.975E-09  1.135E-08 -3.148E-15 -5.293E-15  1.00E-07
  9.500E-02 1.77381E-16 -1.385E-08  6.975E-09  1.135E-08 -3.234E-15 -5.436E-15  1.00E-07
  9.750E-02 1.77381E-16 -1.421E-08  6.975E-09  1.135E-08 -3.319E-15 -5.579E-15  1.00E-07
  1.000E-01 1.77381E-16 -1.458E-08  6.975E-09  1.135E-08 -3.404E-15 -5.722E-15  1.00E-07
  1.250E-01 1.77380E-16 -1.822E-08  6.975E-09  1.135E-08 -4.255E-15 -7.153E-15  1.00E-07
  1.500E-01 1.77379E-16 -2.186E-08  6.975E-09  1.135E-08 -5.106E-15 -8.583E-15  1.00E-07
  1.750E-01 1.77378E-16 -2.550E-08  6.975E-09  1.135E-08 -5.957E-15 -1.001E-14  1.00E-07
  2.000E-01 1.77376E-16 -2.913E-08  6.975E-09  1.135E-08 -6.808E-15 -1.144E-14  1.00E-07
  2.250E-01 1.77375E-16 -3.276E-08  6.975E-09  1.135E-08 -7.659E-15 -1.288E-14  1.00E-07
  2.500E-01 1.77373E-16 -3.639E-08  6.974E-09  1.135E-08 -8.510E-15 -1.431E-14  1.00E-07
  2.750E-01 1.77371E-16 -4.002E-08  6.974E-09  1.135E-08 -9.360E-15 -1.574E-14  1.00E-07
  3.000E-01 1.77369E-16 -4.364E-08  6.974E-09  1.135E-08 -1.021E-14 -1.717E-14  1.00E-07
  3.250E-01 1.77367E-16 -4.725E-08  6.974E-09  1.135E-08 -1.106E-14 -1.860E-14  1.00E-07
  3.500E-01 1.77364E-16 -5.087E-08  6.974E-09  1.135E-08 -1.191E-14 -2.003E-14  1.00E-07
  3.750E-01 1.77362E-16 -5.447E-08  6.974E-09  1.135E-08 -1.276E-14 -2.146E-14  1.00E-07
  4.000E-01 1.77359E-16 -5.807E-08  6.974E-09  1.135E-08 -1.362E-14 -2.289E-14  1.00E-07
  4.250E-01 1.77356E-16 -6.167E-08  6.974E-09  1.135E-08 -1.447E-14 -2.432E-14  1.00E-07
  4.500E-01 1.77352E-16 -6.526E-08  6.974E-09  1.135E-08 -1.532E-14 -2.575E-14  1.00E-07
  4.750E-01 1.77349E-16 -6.884E-08  6.973E-09  1.135E-08 -1.617E-14 -2.718E-14  1.00E-07
  5.000E-01 1.77345E-16 -7.242E-08  6.973E-09  1.135E-08 -1.702E-14 -2.861E-14  1.00E-07
  5.250E-01 1.77342E-16 -7.599E-08  6.973E-09  1.135E-08 -1.787E-14 -3.004E-14  1.00E-07
  5.500E-01 1.77338E-16 -7.955E-08  6.973E-09  1.135E-08 -1.872E-14 -3.147E-14  1.00E-07
  5.750E-01 1.77333E-16 -8.310E-08  6.973E-09  1.135E-08 -1.957E-14 -3.290E-14  1.00E-07
  6.000E-01 1.77329E-16 -8.665E-08  6.973E-09  1.135E-08 -2.042E-14 -3.433E-14  1.00E-07
  6.250E-01 1.77324E-16 -9.018E-08  6.972E-09  1.135E-08 -2.128E-14 -3.576E-14  1.00E-07
  6.500E-01 1.77320E-16 -9.371E-08  6.972E-09  1.134E-08 -2.213E-14 -3.720E-14  1.00E-07
  6.750E-01 1.77315E-16 -9.722E-08  6.972E-09  1.134E-08 -2.298E-14 -3.863E-14  1.00E-07
  7.000E-01 1.77310E-16 -1.007E-07  6.972E-09  1.134E-08 -2.383E-14 -4.006E-14  1.00E-07
  7.250E-01 1.77304E-16 -1.042E-07  6.971E-09  1.134E-08 -2.468E-14 -4.149E-14  1.00E-07
  7.500E-01 1.77299E-16 -1.077E-07  6.971E-09  1.134E-08 -2.553E-14 -4.292E-14  1.00E-07
  7.750E-01 1.77293E-16 -1.112E-07  6.971E-09  1.134E-08 -2.638E-14 -4.435E-14  1.00E-07
  8.000E-01 1.77287E-16 -1.147E-07  6.971E-09  1.134E-08 -2.723E-14 -4.578E-14  1.00E-07
  8.250E-01 1.77281E-16 -1.181E-07  6.970E-09  1.134E-08 -2.808E-14 -4.721E-14  1.00E-07
  8.500E-01 1.77275E-16 -1.215E-07  6.970E-09  1.134E-08 -2.894E-14 -4.864E-14  1.00E-07
  8.750E-01 1.77269E-16 -1.250E-07  6.970E-09  1.134E-08 -2.979E-14 -5.007E-14  1.00E-07
  9.000E-01 1.77262E-16 -1.284E-07  6.970E-09  1.134E-08 -3.064E-14 -5.150E-14  1.00E-07
  9.250E-01 1.77255E-16 -1.318E-07  6.969E-09  1.134E-08 -3.149E-14 -5.293E-14  1.00E-07
  9.500E-01 1.77248E-16 -1.352E-07  6.969E-09  1.134E-08 -3.234E-14 -5.436E-14  1.00E-07
  9.750E-01 1.77241E-16 -1.386E-07  6.969E-09  1.134E-08 -3.319E-14 -5.579E-14  1.00E-07
  1.000E+00 1.77234E-16 -1.419E-07  6.968E-09  1.134E-08 -3.404E-14 -5.722E-14  1.00E-07
  1.100E+00 1.77203E-16 -1.552E-07  6.967E-09  1.134E-08 -3.745E-14 -6.295E-14  1.00E-07
  1.200E+00 1.77169E-16 -1.682E-07  6.966E-09  1.134E-08 -4.086E-14 -6.867E-14  1.00E-07
  1.300E+00 1.77132E-16 -1.810E-07  6.964E-09  1.134E-08 -4.426E-14 -7.439E-14  1.00E-07
  1.400E+00 1.77092E-16 -1.935E-07  6.962E-09  1.134E-08 -4.767E-14 -8.011E-14  1.00E-07
  1.500E+00 1.77049E-16 -2.056E-07  6.960E-09  1.134E-08 -5.108E-14 -8.584E-14  1.00E-07
  1.600E+00 1.77003E-16 -2.173E-07  6.958E-09  1.134E-08 -5.449E-14 -9.156E-14  1.00E-07
  1.700E+00 1.76954E-16 -2.287E-07  6.956E-09  1.134E-08 -5.790E-14 -9.728E-14  1.00E-07
  1.800E+00 1.76902E-16 -2.397E-07  6.954E-09  1.134E-08 -6.130E-14 -1.030E-13  1.00E-07
  1.900E+00 1.76847E-16 -2.503E-07  6.951E-09  1.134E-08 -6.472E-14 -1.087E-13  1.00E-07
  2.000E+00 1.76790E-16 -2.605E-07  6.949E-09  1.134E-08 -6.813E-14 -1.144E-13  1.00E-07
  2.100E+00 1.76729E-16 -2.701E-07  6.946E-09  1.133E-08 -7.154E-14 -1.202E-13  1.00E-07
  2.200E+00 1.76666E-16 -2.793E-07  6.944E-09  1.133E-08 -7.495E-14 -1.259E-13  1.00E-07
  2.300E+00 1.76599E-16 -2.879E-07  6.941E-09  1.133E-08 -7.836E-14 -1.316E-13  1.00E-07
  2.400E+00 1.76530E-16 -2.960E-07  6.938E-09  1.133E-08 -8.178E-14 -1.373E-13  1.00E-07
  2.500E+00 1.76458E-16 -3.036E-07  6.934E-09  1.133E-08 -8.519E-14 -1.431E-13  1.00E-07
  2.600E+00 1.76382E-16 -3.106E-07  6.931E-09  1.133E-08 -8.861E-14 -1.488E-13  1.00E-07
  2.700E+00 1.76304E-16 -3.169E-07  6.928E-09  1.133E-08 -9.203E-14 -1.545E-13  1.00E-07
  2.800E+00 1.76223E-16 -3.226E-07  6.924E-09  1.133E-08 -9.545E-14 -1.602E-13  1.00E-07
