 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 1.74000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  3.250E-02  8.04380E-08  1.16791E-08  9.58584E-09  5.92153E-19  1.17085E-15
  3.500E-02  9.32891E-08  1.16791E-08  9.58584E-09  6.37338E-19  1.26091E-15
  3.750E-02  1.07092E-07  1.16791E-08  9.58584E-09  6.82443E-19  1.35098E-15
  4.000E-02  1.21847E-07  1.16791E-08  9.58584E-09  7.27460E-19  1.44104E-15
  4.250E-02  1.37554E-07  1.16791E-08  9.58584E-09  7.72385E-19  1.53111E-15
  4.500E-02  1.54213E-07  1.16791E-08  9.58584E-09  8.17211E-19  1.62117E-15
  4.750E-02  1.71823E-07  1.16791E-08  9.58584E-09  8.61933E-19  1.71124E-15
  5.000E-02  1.90386E-07  1.16791E-08  9.58584E-09  9.06545E-19  1.80130E-15
  5.250E-02  2.09900E-07  1.16791E-08  9.58584E-09  9.51041E-19  1.89137E-15
  5.500E-02  2.30367E-07  1.16791E-08  9.58584E-09  9.95416E-19  1.98143E-15
  5.750E-02  2.51785E-07  1.16791E-08  9.58583E-09  1.03966E-18  2.07150E-15
  6.000E-02  2.74156E-07  1.16791E-08  9.58583E-09  1.08378E-18  2.16156E-15
  6.250E-02  2.97478E-07  1.16791E-08  9.58583E-09  1.12775E-18  2.25162E-15
  6.500E-02  3.21752E-07  1.16791E-08  9.58583E-09  1.17158E-18  2.34169E-15
  6.750E-02  3.46978E-07  1.16791E-08  9.58583E-09  1.21526E-18  2.43175E-15
  7.000E-02  3.73156E-07  1.16790E-08  9.58583E-09  1.25878E-18  2.52182E-15
  7.250E-02  4.00286E-07  1.16790E-08  9.58583E-09  1.30215E-18  2.61188E-15
  7.500E-02  4.28368E-07  1.16790E-08  9.58583E-09  1.34534E-18  2.70195E-15
  7.750E-02  4.57402E-07  1.16790E-08  9.58582E-09  1.38836E-18  2.79201E-15
  8.000E-02  4.87388E-07  1.16790E-08  9.58582E-09  1.43120E-18  2.88208E-15
  8.250E-02  5.18325E-07  1.16790E-08  9.58582E-09  1.47385E-18  2.97214E-15
  8.500E-02  5.50215E-07  1.16790E-08  9.58582E-09  1.51631E-18  3.06221E-15
  8.750E-02  5.83057E-07  1.16790E-08  9.58582E-09  1.55858E-18  3.15227E-15
  9.000E-02  6.16850E-07  1.16790E-08  9.58581E-09  1.60064E-18  3.24233E-15
  9.250E-02  6.51596E-07  1.16790E-08  9.58581E-09  1.64250E-18  3.33240E-15
  9.500E-02  6.87293E-07  1.16790E-08  9.58581E-09  1.68414E-18  3.42246E-15
  9.750E-02  7.23942E-07  1.16790E-08  9.58581E-09  1.72556E-18  3.51253E-15
  1.000E-01  7.61543E-07  1.16789E-08  9.58581E-09  1.76676E-18  3.60259E-15
  1.250E-01  1.18991E-06  1.16788E-08  9.58578E-09  2.16501E-18  4.50323E-15
  1.500E-01  1.71347E-06  1.16787E-08  9.58575E-09  2.53430E-18  5.40386E-15
  1.750E-01  2.33223E-06  1.16785E-08  9.58572E-09  2.86885E-18  6.30448E-15
